compte_id,canal_acquisition,taille_entreprise,pays,date_inscription
C005551,seo,51-200,FR,2026-02-20 00:00:00
C005552,direct,1-10,FR,2026-04-06 00:00:00
C005553,sea,51-200,FR,2026-05-22 00:00:00
C005554,seo,1-10,FR,2026-03-28 00:00:00
C005555,sea,200+,CA,2026-02-18 00:00:00
C005556,referral,200+,BE,2026-07-05 00:00:00
C005557,referral,200+,FR,2026-06-16 00:00:00
C005558,direct,51-200,FR,2026-05-19 00:00:00
C005559,sea,200+,FR,2026-01-11 00:00:00
C005560,sea,11-50,CH,2026-07-01 00:00:00
C005561,sea,200+,FR,2026-04-02 00:00:00
C005562,direct,11-50,FR,2026-04-09 00:00:00
C005563,referral,11-50,CA,2026-01-31 00:00:00
C005564,direct,51-200,FR,2026-05-30 00:00:00
C005565,referral,200+,FR,2026-06-16 00:00:00
C005566,direct,200+,BE,2026-01-02 00:00:00
C005567,direct,200+,FR,2026-06-21 00:00:00
C005568,direct,200+,FR,2026-07-04 00:00:00
C005569,sea,1-10,FR,2026-01-25 00:00:00
C005570,direct,1-10,FR,2026-03-22 00:00:00
C005571,sea,51-200,FR,2026-01-04 00:00:00
C005572,seo,1-10,CA,2026-01-27 00:00:00
C005573,seo,51-200,FR,2026-02-19 00:00:00
C005574,referral,51-200,CH,2026-03-12 00:00:00
C005575,seo,51-200,FR,2026-06-18 00:00:00
C005576,referral,1-10,FR,2026-04-18 00:00:00
C005577,sea,200+,FR,2026-06-25 00:00:00
C005578,sea,1-10,FR,2026-02-21 00:00:00
C005579,direct,1-10,FR,2026-06-30 00:00:00
C005580,referral,51-200,FR,2026-02-13 00:00:00
C005581,seo,200+,FR,2026-02-24 00:00:00
C005582,seo,1-10,FR,2026-03-02 00:00:00
C005583,sea,11-50,BE,2026-07-16 00:00:00
C005584,seo,11-50,CA,2026-02-09 00:00:00
C005585,seo,11-50,FR,2026-01-10 00:00:00
C005586,direct,1-10,FR,2026-03-13 00:00:00
C005587,sea,51-200,FR,2026-05-03 00:00:00
C005588,seo,1-10,FR,2026-04-20 00:00:00
C005589,sea,11-50,CH,2026-03-06 00:00:00
C005590,referral,200+,CA,2026-03-21 00:00:00
C005591,seo,1-10,FR,2026-03-10 00:00:00
C005592,referral,1-10,BE,2026-05-09 00:00:00
C005593,referral,51-200,BE,2026-03-17 00:00:00
C005594,referral,51-200,FR,2026-07-03 00:00:00
C005595,direct,11-50,FR,2026-01-07 00:00:00
C005596,direct,51-200,FR,2026-01-10 00:00:00
C005597,seo,51-200,FR,2026-01-28 00:00:00
C005598,sea,51-200,FR,2026-06-11 00:00:00
C005599,referral,1-10,FR,2026-01-09 00:00:00
C005600,direct,11-50,FR,2026-05-07 00:00:00
C005601,sea,11-50,FR,2026-01-25 00:00:00
C005602,referral,51-200,FR,2026-06-27 00:00:00
C005603,seo,11-50,CH,2026-05-27 00:00:00
C005604,direct,1-10,FR,2026-02-21 00:00:00
C005605,direct,1-10,FR,2026-05-23 00:00:00
C005606,direct,1-10,FR,2026-03-13 00:00:00
C005607,seo,11-50,BE,2026-06-17 00:00:00
C005608,direct,1-10,CH,2026-03-19 00:00:00
C005609,sea,11-50,CA,2026-07-16 00:00:00
C005610,sea,51-200,FR,2026-05-16 00:00:00
C005611,direct,51-200,FR,2026-01-18 00:00:00
C005612,sea,51-200,BE,2026-01-22 00:00:00
C005613,referral,51-200,FR,2026-06-17 00:00:00
C005614,sea,51-200,FR,2026-06-06 00:00:00
C005615,referral,51-200,FR,2026-04-04 00:00:00
C005616,referral,200+,CA,2026-03-16 00:00:00
C005617,referral,1-10,FR,2026-02-27 00:00:00
C005618,sea,1-10,FR,2026-06-08 00:00:00
C005619,direct,1-10,CA,2026-01-17 00:00:00
C005620,seo,51-200,CA,2026-07-18 00:00:00
C005621,direct,51-200,FR,2026-03-20 00:00:00
C005622,sea,1-10,FR,2026-03-11 00:00:00
C005623,direct,11-50,FR,2026-02-19 00:00:00
C005624,seo,11-50,FR,2026-03-15 00:00:00
C005625,direct,1-10,FR,2026-04-04 00:00:00
C005626,direct,1-10,CA,2026-07-12 00:00:00
C005627,direct,11-50,BE,2026-02-27 00:00:00
C005628,seo,200+,CH,2026-03-02 00:00:00
C005629,sea,1-10,BE,2026-03-20 00:00:00
C005630,seo,200+,FR,2026-02-25 00:00:00
C005631,referral,51-200,FR,2026-03-12 00:00:00
C005632,referral,1-10,FR,2026-02-07 00:00:00
C005633,direct,51-200,FR,2026-01-04 00:00:00
C005634,direct,1-10,FR,2026-07-09 00:00:00
C005635,referral,1-10,FR,2026-05-06 00:00:00
C005636,seo,51-200,CA,2026-04-28 00:00:00
C005637,referral,200+,FR,2026-05-12 00:00:00
C005638,referral,11-50,FR,2026-03-17 00:00:00
C005639,sea,1-10,FR,2026-01-01 00:00:00
C005640,referral,11-50,FR,2026-03-29 00:00:00
C005641,direct,51-200,FR,2026-03-23 00:00:00
C005642,sea,11-50,FR,2026-05-22 00:00:00
C005643,sea,200+,CH,2026-05-28 00:00:00
C005644,sea,51-200,FR,2026-03-15 00:00:00
C005645,referral,51-200,BE,2026-04-08 00:00:00
C005646,seo,11-50,CA,2026-06-18 00:00:00
C005647,sea,200+,FR,2026-05-05 00:00:00
C005648,direct,11-50,FR,2026-01-27 00:00:00
C005649,referral,11-50,FR,2026-06-19 00:00:00
C005650,sea,1-10,FR,2026-02-17 00:00:00
C005651,direct,200+,CH,2026-03-26 00:00:00
C005652,direct,51-200,BE,2026-03-24 00:00:00
C005653,direct,11-50,FR,2026-04-27 00:00:00
C005654,sea,11-50,CA,2026-07-17 00:00:00
C005655,direct,200+,FR,2026-01-23 00:00:00
C005656,sea,51-200,FR,2026-03-06 00:00:00
C005657,seo,1-10,CA,2026-06-19 00:00:00
C005658,referral,51-200,FR,2026-04-01 00:00:00
C005659,direct,200+,FR,2026-03-28 00:00:00
C005660,referral,200+,BE,2026-01-19 00:00:00
C005661,referral,11-50,FR,2026-07-10 00:00:00
C005662,sea,200+,CA,2026-01-20 00:00:00
C005663,referral,1-10,FR,2026-06-07 00:00:00
C005664,sea,51-200,FR,2026-03-27 00:00:00
C005665,direct,11-50,CA,2026-04-03 00:00:00
C005666,seo,51-200,FR,2026-01-29 00:00:00
C005667,sea,200+,BE,2026-02-09 00:00:00
C005668,direct,1-10,FR,2026-05-23 00:00:00
C005669,sea,1-10,FR,2026-05-07 00:00:00
C005670,referral,51-200,CA,2026-07-09 00:00:00
C005671,referral,1-10,FR,2026-07-06 00:00:00
C005672,seo,200+,FR,2026-04-25 00:00:00
C005673,referral,200+,FR,2026-01-10 00:00:00
C005674,direct,200+,FR,2026-06-07 00:00:00
C005675,referral,1-10,FR,2026-05-21 00:00:00
C005676,direct,1-10,FR,2026-05-01 00:00:00
C005677,sea,51-200,CA,2026-05-12 00:00:00
C005678,sea,51-200,BE,2026-07-08 00:00:00
C005679,sea,1-10,CA,2026-05-23 00:00:00
C005680,referral,1-10,CH,2026-02-07 00:00:00
C005681,direct,11-50,FR,2026-05-22 00:00:00
C005682,referral,11-50,FR,2026-01-02 00:00:00
C005683,referral,51-200,CH,2026-01-27 00:00:00
C005684,direct,200+,BE,2026-04-03 00:00:00
C005685,referral,11-50,FR,2026-07-15 00:00:00
C005686,direct,200+,BE,2026-05-28 00:00:00
C005687,seo,11-50,BE,2026-04-09 00:00:00
C005688,direct,11-50,FR,2026-01-11 00:00:00
C005689,direct,1-10,FR,2026-04-26 00:00:00
C005690,sea,1-10,FR,2026-04-06 00:00:00
C005691,seo,11-50,FR,2026-05-05 00:00:00
C005692,seo,200+,FR,2026-04-23 00:00:00
C005693,seo,1-10,FR,2026-04-20 00:00:00
C005694,referral,51-200,FR,2026-05-22 00:00:00
C005695,referral,1-10,FR,2026-01-25 00:00:00
C005696,sea,11-50,FR,2026-05-28 00:00:00
C005697,direct,1-10,CH,2026-01-15 00:00:00
C005698,seo,200+,FR,2026-03-21 00:00:00
C005699,direct,1-10,FR,2026-04-14 00:00:00
C005700,seo,200+,CA,2026-04-19 00:00:00
C005701,seo,51-200,FR,2026-03-20 00:00:00
C005702,seo,11-50,FR,2026-03-06 00:00:00
C005703,sea,51-200,CH,2026-06-02 00:00:00
C005704,referral,1-10,FR,2026-05-08 00:00:00
C005705,seo,200+,FR,2026-03-18 00:00:00
C005706,direct,1-10,FR,2026-01-22 00:00:00
C005707,seo,51-200,FR,2026-07-01 00:00:00
C005708,referral,1-10,FR,2026-02-28 00:00:00
C005709,direct,200+,CA,2026-04-03 00:00:00
C005710,direct,51-200,CH,2026-05-08 00:00:00
C005711,referral,51-200,FR,2026-02-16 00:00:00
C005712,seo,1-10,BE,2026-03-08 00:00:00
C005713,referral,200+,FR,2026-03-02 00:00:00
C005714,direct,11-50,FR,2026-07-07 00:00:00
C005715,sea,200+,CA,2026-01-08 00:00:00
C005716,seo,1-10,BE,2026-02-18 00:00:00
C005717,sea,200+,BE,2026-05-26 00:00:00
C005718,sea,51-200,FR,2026-01-14 00:00:00
C005719,seo,11-50,CH,2026-05-18 00:00:00
C005720,referral,11-50,FR,2026-05-02 00:00:00
C005721,seo,11-50,FR,2026-04-19 00:00:00
C005722,sea,51-200,FR,2026-04-20 00:00:00
C005723,seo,11-50,BE,2026-07-04 00:00:00
C005724,seo,1-10,BE,2026-02-05 00:00:00
C005725,sea,11-50,FR,2026-02-14 00:00:00
C005726,direct,1-10,CA,2026-05-09 00:00:00
C005727,seo,1-10,FR,2026-04-04 00:00:00
C005728,seo,1-10,FR,2026-05-08 00:00:00
C005729,sea,200+,FR,2026-02-10 00:00:00
C005730,seo,11-50,CH,2026-02-27 00:00:00
C005731,direct,200+,FR,2026-04-13 00:00:00
C005732,seo,51-200,CA,2026-03-23 00:00:00
C005733,seo,11-50,CH,2026-05-28 00:00:00
C005734,seo,11-50,FR,2026-04-02 00:00:00
C005735,referral,200+,FR,2026-06-01 00:00:00
C005736,seo,200+,FR,2026-02-09 00:00:00
C005737,seo,51-200,FR,2026-06-21 00:00:00
C005738,referral,11-50,CH,2026-05-13 00:00:00
C005739,referral,1-10,FR,2026-05-21 00:00:00
C005740,referral,200+,FR,2026-02-20 00:00:00
C005741,sea,51-200,FR,2026-01-28 00:00:00
C005742,referral,200+,FR,2026-02-09 00:00:00
C005743,sea,200+,FR,2026-02-08 00:00:00
C005744,referral,11-50,FR,2026-01-22 00:00:00
C005745,referral,200+,FR,2026-04-03 00:00:00
C005746,seo,1-10,FR,2026-06-07 00:00:00
C005747,sea,51-200,FR,2026-06-18 00:00:00
C005748,seo,200+,FR,2026-03-21 00:00:00
C005749,sea,200+,CA,2026-05-11 00:00:00
C005750,direct,11-50,FR,2026-06-11 00:00:00
C005751,sea,51-200,FR,2026-06-20 00:00:00
C005752,direct,1-10,CA,2026-03-04 00:00:00
C005753,direct,1-10,FR,2026-07-06 00:00:00
C005754,direct,11-50,BE,2026-07-10 00:00:00
C005755,sea,1-10,FR,2026-03-10 00:00:00
C005756,referral,51-200,FR,2026-01-25 00:00:00
C005757,referral,1-10,FR,2026-03-27 00:00:00
C005758,direct,11-50,FR,2026-07-19 00:00:00
C005759,direct,11-50,FR,2026-02-09 00:00:00
C005760,sea,11-50,FR,2026-06-13 00:00:00
C005761,seo,1-10,CH,2026-05-22 00:00:00
C005762,seo,200+,FR,2026-07-07 00:00:00
C005763,direct,200+,BE,2026-03-16 00:00:00
C005764,seo,51-200,FR,2026-01-03 00:00:00
C005765,referral,1-10,FR,2026-06-12 00:00:00
C005766,seo,1-10,FR,2026-03-19 00:00:00
C005767,sea,1-10,BE,2026-05-16 00:00:00
C005768,direct,51-200,BE,2026-01-02 00:00:00
C005769,sea,200+,FR,2026-06-20 00:00:00
C005770,direct,51-200,CH,2026-05-25 00:00:00
C005771,sea,51-200,FR,2026-07-17 00:00:00
C005772,direct,200+,FR,2026-05-25 00:00:00
C005773,referral,51-200,FR,2026-07-08 00:00:00
C005774,referral,1-10,FR,2026-07-09 00:00:00
C005775,seo,11-50,FR,2026-05-07 00:00:00
C005776,referral,200+,FR,2026-01-17 00:00:00
C005777,seo,11-50,CH,2026-07-15 00:00:00
C005778,direct,1-10,FR,2026-02-08 00:00:00
C005779,referral,11-50,FR,2026-07-03 00:00:00
C005780,sea,200+,CH,2026-01-16 00:00:00
C005781,seo,51-200,FR,2026-06-16 00:00:00
C005782,direct,200+,BE,2026-03-30 00:00:00
C005783,seo,11-50,CH,2026-06-01 00:00:00
C005784,seo,1-10,BE,2026-05-05 00:00:00
C005785,referral,200+,FR,2026-07-09 00:00:00
C005786,direct,11-50,CH,2026-04-24 00:00:00
C005787,sea,200+,BE,2026-05-19 00:00:00
C005788,direct,200+,FR,2026-06-15 00:00:00
C005789,seo,200+,CA,2026-03-05 00:00:00
C005790,referral,1-10,FR,2026-02-20 00:00:00
C005791,seo,11-50,FR,2026-03-05 00:00:00
C005792,referral,200+,CA,2026-05-30 00:00:00
C005793,sea,200+,FR,2026-05-18 00:00:00
C005794,direct,1-10,CH,2026-04-13 00:00:00
C005795,referral,11-50,FR,2026-01-18 00:00:00
C005796,sea,1-10,FR,2026-04-21 00:00:00
C005797,sea,11-50,FR,2026-04-12 00:00:00
C005798,sea,11-50,FR,2026-05-16 00:00:00
C005799,referral,1-10,BE,2026-02-24 00:00:00
C005800,sea,11-50,FR,2026-05-24 00:00:00
C005801,referral,11-50,FR,2026-01-08 00:00:00
C005802,referral,200+,FR,2026-02-13 00:00:00
C005803,direct,1-10,FR,2026-02-01 00:00:00
C005804,direct,11-50,FR,2026-02-18 00:00:00
C005805,sea,200+,FR,2026-03-04 00:00:00
C005806,sea,11-50,FR,2026-05-18 00:00:00
C005807,direct,11-50,CA,2026-03-04 00:00:00
C005808,sea,11-50,FR,2026-04-29 00:00:00
C005809,sea,1-10,CA,2026-02-02 00:00:00
C005810,seo,200+,BE,2026-05-27 00:00:00
C005811,seo,200+,CA,2026-07-13 00:00:00
C005812,direct,51-200,FR,2026-06-10 00:00:00
C005813,referral,1-10,FR,2026-01-14 00:00:00
C005814,direct,1-10,FR,2026-02-24 00:00:00
C005815,direct,1-10,FR,2026-02-09 00:00:00
C005816,direct,1-10,BE,2026-03-22 00:00:00
C005817,sea,1-10,FR,2026-04-25 00:00:00
C005818,direct,200+,FR,2026-02-22 00:00:00
C005819,seo,51-200,BE,2026-03-06 00:00:00
C005820,referral,11-50,FR,2026-02-13 00:00:00
C005821,seo,1-10,CA,2026-02-23 00:00:00
C005822,referral,11-50,FR,2026-01-23 00:00:00
C005823,direct,11-50,FR,2026-06-07 00:00:00
C005824,sea,200+,FR,2026-07-04 00:00:00
C005825,sea,200+,BE,2026-06-22 00:00:00
C005826,sea,51-200,FR,2026-04-01 00:00:00
C005827,sea,1-10,CH,2026-04-29 00:00:00
C005828,seo,11-50,FR,2026-06-11 00:00:00
C005829,sea,51-200,CH,2026-07-07 00:00:00
C005830,seo,11-50,FR,2026-05-31 00:00:00
C005831,sea,51-200,FR,2026-03-28 00:00:00
C005832,referral,11-50,BE,2026-02-08 00:00:00
C005833,seo,1-10,FR,2026-03-21 00:00:00
C005834,direct,11-50,FR,2026-07-19 00:00:00
C005835,seo,11-50,FR,2026-03-04 00:00:00
C005836,sea,1-10,BE,2026-06-28 00:00:00
C005837,seo,51-200,FR,2026-03-27 00:00:00
C005838,referral,11-50,BE,2026-04-07 00:00:00
C005839,seo,51-200,FR,2026-05-12 00:00:00
C005840,referral,51-200,FR,2026-06-03 00:00:00
C005841,seo,1-10,CA,2026-05-03 00:00:00
C005842,seo,200+,FR,2026-04-13 00:00:00
C005843,referral,51-200,BE,2026-04-23 00:00:00
C005844,seo,1-10,FR,2026-06-28 00:00:00
C005845,referral,1-10,BE,2026-02-17 00:00:00
C005846,referral,200+,FR,2026-04-03 00:00:00
C005847,direct,200+,CA,2026-05-18 00:00:00
C005848,direct,51-200,FR,2026-06-08 00:00:00
C005849,sea,51-200,FR,2026-04-15 00:00:00
C005850,sea,51-200,FR,2026-06-04 00:00:00
C005851,seo,51-200,FR,2026-02-19 00:00:00
C005852,seo,200+,FR,2026-01-10 00:00:00
C005853,direct,200+,CA,2026-01-24 00:00:00
C005854,referral,51-200,FR,2026-02-27 00:00:00
C005855,sea,51-200,FR,2026-04-26 00:00:00
C005856,seo,200+,FR,2026-02-15 00:00:00
C005857,referral,51-200,FR,2026-05-29 00:00:00
C005858,sea,11-50,CH,2026-04-25 00:00:00
C005859,sea,200+,FR,2026-04-06 00:00:00
C005860,seo,1-10,CA,2026-06-27 00:00:00
C005861,referral,51-200,FR,2026-01-19 00:00:00
C005862,seo,11-50,BE,2026-07-07 00:00:00
C005863,sea,11-50,CH,2026-01-05 00:00:00
C005864,referral,1-10,CA,2026-04-29 00:00:00
C005865,direct,1-10,CH,2026-02-16 00:00:00
C005866,seo,200+,CA,2026-02-15 00:00:00
C005867,referral,11-50,FR,2026-01-09 00:00:00
C005868,sea,51-200,CA,2026-03-06 00:00:00
C005869,referral,11-50,FR,2026-04-04 00:00:00
C005870,sea,11-50,BE,2026-03-11 00:00:00
C005871,referral,11-50,FR,2026-05-22 00:00:00
C005872,sea,1-10,FR,2026-04-28 00:00:00
C005873,direct,200+,CA,2026-07-04 00:00:00
C005874,sea,200+,FR,2026-07-02 00:00:00
C005875,referral,11-50,BE,2026-05-18 00:00:00
C005876,direct,1-10,FR,2026-03-14 00:00:00
C005877,referral,51-200,FR,2026-04-27 00:00:00
C005878,referral,1-10,BE,2026-03-25 00:00:00
C005879,direct,51-200,FR,2026-03-07 00:00:00
C005880,referral,1-10,FR,2026-05-12 00:00:00
C005881,direct,51-200,FR,2026-07-08 00:00:00
C005882,direct,200+,FR,2026-05-04 00:00:00
C005883,sea,51-200,FR,2026-05-30 00:00:00
C005884,direct,1-10,FR,2026-04-29 00:00:00
C005885,seo,1-10,FR,2026-06-02 00:00:00
C005886,referral,200+,FR,2026-07-12 00:00:00
C005887,seo,200+,CH,2026-01-14 00:00:00
C005888,sea,11-50,FR,2026-04-12 00:00:00
C005889,seo,1-10,CH,2026-01-31 00:00:00
C005890,direct,11-50,FR,2026-03-05 00:00:00
C005891,seo,51-200,FR,2026-05-23 00:00:00
C005892,direct,1-10,FR,2026-01-28 00:00:00
C005893,referral,51-200,FR,2026-06-27 00:00:00
C005894,referral,51-200,BE,2026-05-11 00:00:00
C005895,seo,11-50,BE,2026-02-26 00:00:00
C005896,direct,11-50,FR,2026-02-28 00:00:00
C005897,sea,51-200,FR,2026-06-12 00:00:00
C005898,seo,200+,CA,2026-01-05 00:00:00
C005899,seo,51-200,FR,2026-02-05 00:00:00
C005900,referral,1-10,FR,2026-01-13 00:00:00
C005901,seo,1-10,CH,2026-01-09 00:00:00
C005902,direct,51-200,FR,2026-05-19 00:00:00
C005903,sea,51-200,CH,2026-04-07 00:00:00
C005904,seo,11-50,CA,2026-05-30 00:00:00
C005905,direct,1-10,CA,2026-03-27 00:00:00
C005906,referral,1-10,FR,2026-03-11 00:00:00
C005907,direct,51-200,FR,2026-06-16 00:00:00
C005908,seo,1-10,CH,2026-01-20 00:00:00
C005909,referral,51-200,FR,2026-05-29 00:00:00
C005910,referral,51-200,FR,2026-06-07 00:00:00
C005911,direct,51-200,CH,2026-02-22 00:00:00
C005912,referral,51-200,CH,2026-06-25 00:00:00
C005913,direct,51-200,FR,2026-07-11 00:00:00
C005914,seo,51-200,CH,2026-04-17 00:00:00
C005915,seo,200+,FR,2026-03-25 00:00:00
C005916,seo,11-50,FR,2026-07-08 00:00:00
C005917,referral,1-10,FR,2026-06-11 00:00:00
C005918,referral,1-10,FR,2026-01-12 00:00:00
C005919,referral,11-50,FR,2026-02-13 00:00:00
C005920,referral,200+,FR,2026-01-23 00:00:00
C005921,direct,51-200,FR,2026-03-30 00:00:00
C005922,sea,11-50,FR,2026-04-04 00:00:00
C005923,seo,11-50,CH,2026-02-23 00:00:00
C005924,sea,51-200,FR,2026-03-06 00:00:00
C005925,seo,1-10,FR,2026-06-28 00:00:00
C005926,sea,1-10,FR,2026-06-28 00:00:00
C005927,sea,51-200,FR,2026-02-19 00:00:00
C005928,seo,11-50,FR,2026-03-24 00:00:00
C005929,direct,1-10,CH,2026-03-30 00:00:00
C005930,referral,1-10,FR,2026-06-03 00:00:00
C005931,seo,200+,FR,2026-02-19 00:00:00
C005932,referral,51-200,FR,2026-03-09 00:00:00
C005933,direct,51-200,FR,2026-01-01 00:00:00
C005934,direct,51-200,FR,2026-04-28 00:00:00
C005935,seo,51-200,BE,2026-04-14 00:00:00
C005936,direct,200+,BE,2026-01-10 00:00:00
C005937,referral,200+,FR,2026-02-09 00:00:00
C005938,direct,200+,FR,2026-01-02 00:00:00
C005939,direct,1-10,CA,2026-04-21 00:00:00
C005940,referral,11-50,CH,2026-04-25 00:00:00
C005941,referral,11-50,CA,2026-06-21 00:00:00
C005942,direct,51-200,FR,2026-04-07 00:00:00
C005943,sea,1-10,FR,2026-06-30 00:00:00
C005944,sea,11-50,FR,2026-03-03 00:00:00
C005945,sea,11-50,FR,2026-05-12 00:00:00
C005946,direct,11-50,FR,2026-02-26 00:00:00
C005947,referral,51-200,FR,2026-07-18 00:00:00
C005948,direct,11-50,FR,2026-05-14 00:00:00
C005949,sea,11-50,FR,2026-06-08 00:00:00
C005950,referral,51-200,CH,2026-05-22 00:00:00
C005951,direct,11-50,FR,2026-03-10 00:00:00
C005952,seo,51-200,FR,2026-03-25 00:00:00
C005953,sea,200+,CH,2026-07-04 00:00:00
C005954,direct,51-200,FR,2026-02-09 00:00:00
C005955,direct,200+,CA,2026-04-28 00:00:00
C005956,seo,200+,BE,2026-07-01 00:00:00
C005957,referral,51-200,FR,2026-02-13 00:00:00
C005958,referral,1-10,FR,2026-02-19 00:00:00
C005959,direct,11-50,FR,2026-05-30 00:00:00
C005960,sea,11-50,FR,2026-01-14 00:00:00
C005961,seo,200+,CA,2026-07-05 00:00:00
C005962,sea,200+,FR,2026-02-14 00:00:00
C005963,seo,1-10,FR,2026-03-03 00:00:00
C005964,seo,11-50,FR,2026-05-28 00:00:00
C005965,seo,11-50,FR,2026-03-13 00:00:00
C005966,direct,200+,FR,2026-05-07 00:00:00
C005967,referral,51-200,CA,2026-03-16 00:00:00
C005968,sea,11-50,FR,2026-06-08 00:00:00
C005969,direct,200+,CA,2026-07-03 00:00:00
C005970,seo,1-10,FR,2026-06-14 00:00:00
C005971,referral,11-50,FR,2026-05-25 00:00:00
C005972,sea,51-200,FR,2026-07-10 00:00:00
C005973,referral,1-10,FR,2026-02-07 00:00:00
C005974,referral,1-10,FR,2026-07-01 00:00:00
C005975,sea,200+,CH,2026-01-20 00:00:00
C005976,sea,11-50,FR,2026-01-13 00:00:00
C005977,direct,1-10,FR,2026-01-23 00:00:00
C005978,direct,51-200,FR,2026-02-01 00:00:00
C005979,referral,51-200,FR,2026-01-12 00:00:00
C005980,seo,1-10,FR,2026-04-09 00:00:00
C005981,seo,200+,FR,2026-06-04 00:00:00
C005982,sea,1-10,FR,2026-06-03 00:00:00
C005983,referral,1-10,FR,2026-03-24 00:00:00
C005984,sea,51-200,FR,2026-02-06 00:00:00
C005985,referral,51-200,FR,2026-07-14 00:00:00
C005986,direct,1-10,FR,2026-04-24 00:00:00
C005987,direct,1-10,BE,2026-04-28 00:00:00
C005988,sea,1-10,FR,2026-04-02 00:00:00
C005989,referral,200+,CH,2026-06-08 00:00:00
C005990,referral,200+,FR,2026-05-23 00:00:00
C005991,direct,51-200,CH,2026-06-08 00:00:00
C005992,direct,200+,CH,2026-04-01 00:00:00
C005993,sea,51-200,FR,2026-04-06 00:00:00
C005994,sea,51-200,CH,2026-02-26 00:00:00
C005995,referral,1-10,CH,2026-06-29 00:00:00
C005996,sea,11-50,BE,2026-05-14 00:00:00
C005997,seo,51-200,FR,2026-03-03 00:00:00
C005998,sea,200+,FR,2026-01-07 00:00:00
C005999,direct,200+,FR,2026-04-30 00:00:00
C006000,referral,1-10,CA,2026-04-09 00:00:00
C006001,sea,11-50,BE,2026-02-03 00:00:00
C006002,referral,51-200,FR,2026-03-28 00:00:00
C006003,seo,51-200,BE,2026-03-01 00:00:00
C006004,direct,11-50,FR,2026-01-08 00:00:00
C006005,direct,11-50,FR,2026-06-28 00:00:00
C006006,referral,200+,FR,2026-05-04 00:00:00
C006007,direct,51-200,CH,2026-04-28 00:00:00
C006008,direct,11-50,FR,2026-06-04 00:00:00
C006009,direct,51-200,FR,2026-04-18 00:00:00
C006010,seo,51-200,FR,2026-07-06 00:00:00
C006011,sea,1-10,FR,2026-03-05 00:00:00
C006012,direct,11-50,FR,2026-01-06 00:00:00
C006013,sea,200+,FR,2026-06-29 00:00:00
C006014,direct,200+,FR,2026-06-05 00:00:00
C006015,sea,11-50,FR,2026-01-31 00:00:00
C006016,direct,51-200,CA,2026-05-17 00:00:00
C006017,seo,51-200,FR,2026-03-16 00:00:00
C006018,seo,1-10,FR,2026-06-21 00:00:00
C006019,sea,11-50,FR,2026-01-16 00:00:00
C006020,seo,51-200,BE,2026-04-25 00:00:00
C006021,seo,11-50,FR,2026-02-25 00:00:00
C006022,seo,1-10,BE,2026-02-05 00:00:00
C006023,sea,51-200,FR,2026-06-03 00:00:00
C006024,sea,51-200,FR,2026-02-08 00:00:00
C006025,referral,11-50,FR,2026-05-21 00:00:00
C006026,seo,11-50,FR,2026-02-19 00:00:00
C006027,sea,200+,FR,2026-02-19 00:00:00
C006028,direct,1-10,BE,2026-03-04 00:00:00
C006029,seo,11-50,FR,2026-06-03 00:00:00
C006030,sea,51-200,CA,2026-01-14 00:00:00
C006031,seo,200+,FR,2026-02-20 00:00:00
C006032,seo,51-200,FR,2026-03-03 00:00:00
C006033,direct,51-200,FR,2026-01-10 00:00:00
C006034,sea,1-10,FR,2026-03-25 00:00:00
C006035,direct,51-200,FR,2026-04-15 00:00:00
C006036,seo,11-50,CA,2026-02-18 00:00:00
C006037,sea,11-50,FR,2026-05-25 00:00:00
C006038,direct,1-10,BE,2026-02-24 00:00:00
C006039,seo,51-200,FR,2026-03-06 00:00:00
C006040,referral,51-200,FR,2026-02-01 00:00:00
C006041,referral,51-200,FR,2026-02-09 00:00:00
C006042,seo,200+,BE,2026-04-21 00:00:00
C006043,referral,200+,BE,2026-04-06 00:00:00
C006044,referral,200+,BE,2026-04-19 00:00:00
C006045,referral,200+,FR,2026-02-24 00:00:00
C006046,sea,1-10,FR,2026-06-22 00:00:00
C006047,sea,51-200,FR,2026-04-06 00:00:00
C006048,sea,1-10,BE,2026-04-24 00:00:00
C006049,seo,1-10,FR,2026-06-16 00:00:00
C006050,referral,51-200,FR,2026-01-21 00:00:00
C006051,direct,11-50,FR,2026-05-31 00:00:00
C006052,seo,11-50,CA,2026-05-02 00:00:00
C006053,seo,1-10,FR,2026-07-17 00:00:00
C006054,referral,11-50,BE,2026-06-20 00:00:00
C006055,referral,200+,FR,2026-03-24 00:00:00
C006056,seo,200+,BE,2026-07-03 00:00:00
C006057,direct,200+,FR,2026-04-25 00:00:00
C006058,referral,1-10,CA,2026-04-15 00:00:00
C006059,referral,11-50,FR,2026-03-06 00:00:00
C006060,referral,11-50,FR,2026-06-17 00:00:00
C006061,seo,200+,FR,2026-04-29 00:00:00
C006062,direct,200+,FR,2026-02-07 00:00:00
C006063,referral,51-200,FR,2026-01-21 00:00:00
C006064,sea,11-50,FR,2026-07-17 00:00:00
C006065,sea,200+,FR,2026-06-29 00:00:00
C006066,referral,1-10,CH,2026-05-12 00:00:00
C006067,direct,200+,FR,2026-05-12 00:00:00
C006068,seo,11-50,BE,2026-04-15 00:00:00
C006069,seo,51-200,BE,2026-07-04 00:00:00
C006070,seo,1-10,FR,2026-01-26 00:00:00
C006071,seo,1-10,CH,2026-01-05 00:00:00
