fournisseur,categorie,volume_annuel,duree_accord,taux_service,part_marque_nationale,exercice,negociateur,taux_remise
F0448,C,23365.0,12,0.943,0.431,2026,N26,26.33
F0449,A,398659.0,12,0.935,0.22,2026,N32,32.46
F0450,C,87677.0,12,0.955,0.087,2025,N21,27.96
F0451,C,40091.0,24,0.923,0.602,2025,N04,28.9
F0452,C,254569.0,24,0.836,0.924,2025,N25,34.71
F0453,D,241969.0,36,0.931,0.144,2024,N11,28.67
F0454,A,46068.0,12,0.911,0.39,2024,N29,27.56
F0455,B,63051.0,24,0.972,0.597,2025,N39,28.73
F0456,B,1522119.0,24,0.789,0.728,2024,N39,36.51
F0457,A,33006.0,12,0.962,0.634,2024,N24,27.57
F0458,B,362162.0,24,0.954,0.352,2024,N37,31.77
F0459,A,46145.0,12,0.89,0.645,2025,N11,28.41
F0460,E,38383.0,36,0.858,0.38,2024,N40,27.08
F0461,B,30620.0,12,0.947,0.84,2026,N06,28.36
F0462,C,92790.0,36,0.916,0.711,2026,N30,32.07
F0463,A,104635.0,24,0.837,0.561,2025,N06,29.34
F0464,D,260623.0,12,0.864,0.742,2026,N40,35.06
F0465,D,44015.0,36,0.919,0.514,2024,N23,31.34
F0466,B,175240.0,24,0.89,0.407,2025,N27,30.74
F0467,B,54648.0,24,1.0,0.495,2025,N11,27.4
F0468,C,44531.0,36,0.994,0.262,2026,N28,31.41
F0469,C,229119.0,36,0.935,0.11,2025,N11,30.14
F0470,C,183659.0,24,0.988,0.405,2024,N23,30.48
F0471,E,17258.0,24,0.924,0.617,2025,N13,28.18
F0472,B,127994.0,12,1.0,0.217,2025,N11,31.57
F0473,B,11834.0,36,0.989,0.187,2026,N05,26.6
F0474,B,29346.0,36,0.932,0.288,2025,N34,28.14
F0475,C,733008.0,36,0.861,0.132,2026,N24,33.23
F0476,B,508343.0,24,0.965,0.161,2026,N24,32.2
F0477,D,82866.0,12,0.827,0.234,2025,N05,28.22
F0478,D,213925.0,24,0.976,0.031,2026,N12,31.1
F0479,D,474227.0,12,0.892,0.571,2026,N18,33.16
F0480,D,819768.0,36,1.0,0.339,2025,N09,36.56
F0481,A,808403.0,12,0.925,0.574,2024,N18,33.1
F0482,E,40928.0,24,0.902,0.545,2024,N07,29.96
F0483,A,96351.0,12,1.0,0.309,2024,N36,28.06
F0484,B,115960.0,36,0.946,0.078,2025,N29,27.51
F0485,D,5540.0,12,0.935,0.21,2026,N19,24.06
F0486,C,40872.0,24,0.847,0.335,2026,N35,27.25
F0487,D,161541.0,12,0.904,0.336,2026,N28,30.99
F0488,D,77169.0,12,0.955,0.292,2025,N40,30.27
F0489,A,48362.0,12,1.0,0.622,2026,N32,28.38
F0490,C,24361.0,12,0.988,0.2,2024,N13,25.84
F0491,D,49662.0,12,0.952,0.638,2024,N34,29.94
F0492,E,96087.0,12,0.946,0.418,2024,N14,27.19
F0493,E,67728.0,24,0.987,0.67,2026,N38,30.77
F0494,A,387602.0,12,0.958,0.835,2026,N24,34.16
F0495,E,262649.0,24,0.923,0.856,2024,N13,31.77
F0496,D,21065.0,36,0.864,0.679,2026,N12,30.5
F0497,A,303306.0,12,0.948,0.42,2025,N34,31.59
F0498,A,102217.0,12,0.904,0.224,2026,N11,29.2
F0499,C,246555.0,24,0.903,0.281,2025,N02,31.86
F0500,C,44844.0,24,0.922,0.432,2024,N25,28.46
F0501,E,289519.0,12,0.883,0.37,2026,N21,31.69
F0502,B,41924.0,12,1.0,0.221,2026,N27,25.77
F0503,A,335537.0,36,0.955,0.498,2026,N06,33.84
F0504,C,95245.0,36,0.936,0.648,2026,N37,30.31
F0505,B,72388.0,12,0.849,0.725,2026,N30,27.81
F0506,D,20303.0,36,0.945,0.294,2025,N28,29.01
F0507,B,14289.0,36,0.964,0.114,2024,N24,28.24
F0508,A,278332.0,12,0.848,0.562,2026,N17,32.74
F0509,C,25780.0,36,0.866,0.353,2026,N31,26.06
F0510,A,24128.0,12,0.923,0.65,2024,N20,27.1
F0511,A,158756.0,12,0.992,0.319,2025,N27,27.56
F0512,E,101084.0,24,1.0,0.254,2026,N18,29.99
F0513,A,198083.0,24,1.0,0.208,2025,N21,28.59
F0514,C,20465.0,12,0.901,0.667,2024,N33,28.97
F0515,E,7733.0,24,0.938,0.564,2026,N17,25.96
F0516,C,33216.0,12,1.0,0.219,2024,N27,28.53
F0517,C,325738.0,12,0.971,0.416,2025,N38,31.2
F0518,A,94563.0,36,0.969,0.568,2024,N39,29.77
F0519,E,166299.0,36,0.963,0.839,2024,N01,31.84
F0520,C,183728.0,12,0.923,0.166,2024,N22,30.18
F0521,B,120288.0,36,0.827,0.489,2026,N34,29.52
F0522,D,120573.0,36,0.881,0.368,2025,N18,30.32
F0523,C,76869.0,24,0.906,0.581,2026,N27,31.99
F0524,E,128016.0,36,0.966,0.355,2025,N12,30.75
F0525,A,145312.0,12,0.964,0.385,2026,N19,32.02
F0526,B,45222.0,12,0.951,0.375,2024,N38,28.05
F0527,C,202061.0,36,0.918,0.36,2024,N05,31.25
F0528,A,98497.0,24,1.0,0.768,2025,N03,32.37
F0529,E,89281.0,12,0.97,0.26,2026,N27,28.31
F0530,D,81734.0,24,0.95,0.457,2024,N03,32.05
F0531,E,283285.0,36,0.907,0.617,2025,N20,32.25
F0532,B,83011.0,24,0.948,0.383,2025,N27,30.02
F0533,D,411191.0,36,0.977,0.464,2025,N37,32.68
F0534,D,29716.0,24,0.982,0.213,2024,N21,28.84
F0535,C,196714.0,24,0.931,0.397,2026,N10,30.28
F0536,E,15567.0,12,0.964,0.163,2024,N19,29.31
F0537,B,105143.0,12,0.934,0.568,2025,N39,29.34
F0538,E,54103.0,36,0.976,0.187,2026,N20,30.49
F0539,E,57100.0,24,0.929,0.142,2024,N13,27.63
F0540,A,28546.0,36,1.0,0.582,2025,N09,29.54
F0541,B,95689.0,36,1.0,0.353,2026,N14,30.17
F0542,B,188928.0,12,0.885,0.515,2024,N17,29.8
F0543,C,10975.0,36,0.955,0.572,2025,N02,26.09
F0544,B,84427.0,12,0.972,0.26,2026,N08,29.21
F0545,E,122578.0,12,0.985,0.374,2026,N24,27.83
F0546,E,203765.0,12,0.868,0.295,2024,N21,29.22
F0547,C,150666.0,12,0.895,0.249,2026,N20,27.31
F0548,C,27071.0,12,0.988,0.727,2024,N26,29.6
F0549,A,322591.0,36,0.958,0.277,2025,N22,32.27
F0550,C,34812.0,36,1.0,0.204,2026,N22,29.11
F0551,E,177469.0,12,1.0,0.702,2025,N03,32.36
F0552,E,123502.0,12,0.901,0.313,2026,N22,28.96
F0553,B,49004.0,36,0.945,0.383,2026,N39,31.0
F0554,A,33149.0,24,0.918,0.243,2026,N25,27.81
F0555,B,75878.0,24,0.962,0.25,2024,N17,28.23
F0556,A,544341.0,12,1.0,0.548,2025,N17,32.7
F0557,C,210319.0,36,0.933,0.487,2025,N40,30.07
F0558,A,49141.0,12,0.998,0.386,2024,N10,31.01
F0559,C,233484.0,12,0.964,0.277,2026,N38,30.77
F0560,C,715382.0,12,0.963,0.241,2025,N18,33.23
F0561,A,1292056.0,24,0.947,0.64,2025,N25,33.22
F0562,B,12634.0,24,0.944,0.21,2025,N30,26.99
F0563,D,233804.0,36,0.981,0.96,2026,N35,33.38
F0564,B,265310.0,36,0.921,0.314,2026,N02,31.42
F0565,A,37518.0,12,0.982,0.645,2026,N38,27.32
F0566,C,10596.0,12,0.95,0.824,2024,N24,26.84
F0567,D,445280.0,12,0.901,0.719,2025,N29,35.1
F0568,C,56629.0,36,0.89,0.237,2026,N18,29.05
F0569,D,14230.0,24,1.0,0.611,2025,N40,26.0
F0570,B,27417.0,12,0.868,0.32,2026,N06,27.9
F0571,D,236282.0,24,0.967,0.223,2025,N12,29.95
F0572,A,1341759.0,36,1.0,0.337,2024,N31,33.89
F0573,E,300219.0,12,0.888,0.287,2026,N28,30.55
F0574,E,35290.0,36,0.965,0.476,2024,N02,29.1
F0575,B,450212.0,12,0.875,0.407,2026,N09,31.16
F0576,E,10512.0,24,0.973,0.598,2024,N18,25.73
F0577,E,324318.0,36,0.977,0.487,2025,N23,31.9
F0578,C,298988.0,12,0.957,0.639,2024,N36,32.05
F0579,D,846680.0,24,0.978,0.633,2024,N31,34.98
F0580,B,320185.0,12,0.891,0.176,2026,N24,31.98
F0581,C,388386.0,12,0.946,0.437,2024,N22,32.21
F0582,E,114268.0,24,0.89,0.4,2026,N19,28.88
F0583,D,66916.0,36,0.974,0.518,2024,N06,28.48
F0584,A,104011.0,36,0.87,0.229,2025,N04,27.63
F0585,A,1004289.0,36,0.966,0.423,2025,N11,32.55
F0586,E,50967.0,36,1.0,0.215,2025,N09,26.88
F0587,B,94403.0,36,1.0,0.195,2024,N16,27.6
F0588,D,58103.0,36,0.949,0.485,2024,N19,31.67
F0589,D,226415.0,12,0.95,0.157,2024,N24,31.54
F0590,B,180061.0,12,0.915,0.558,2025,N23,30.24
F0591,D,1161877.0,36,0.949,0.342,2025,N19,33.6
F0592,C,1375543.0,12,0.897,0.443,2025,N34,34.55
F0593,A,395358.0,24,0.846,0.517,2025,N27,33.33
F0594,C,297427.0,24,0.912,0.267,2024,N37,31.26
F0595,A,87008.0,24,0.972,0.402,2026,N20,28.54
F0596,A,17125.0,12,0.884,0.853,2026,N38,29.05
F0597,C,124743.0,36,0.975,0.698,2025,N22,33.08
F0598,C,107519.0,12,1.0,0.175,2026,N24,27.72
F0599,E,26366.0,36,0.955,0.726,2026,N20,27.14
F0600,D,133034.0,36,0.952,0.199,2025,N09,31.62
F0601,C,329169.0,36,0.841,0.319,2025,N27,31.78
F0602,D,35231.0,12,0.921,0.604,2025,N01,27.52
F0603,D,295900.0,24,0.869,0.538,2024,N17,31.67
F0604,A,167855.0,24,0.973,0.281,2026,N20,30.93
F0605,D,53416.0,12,0.901,0.165,2024,N08,26.8
F0606,B,117200.0,24,0.938,0.55,2026,N23,30.4
F0607,A,253528.0,24,0.906,0.61,2024,N01,32.15
F0608,D,82465.0,12,0.938,0.757,2024,N24,29.67
F0609,C,95189.0,36,0.929,0.411,2026,N33,30.74
F0610,A,499002.0,24,0.977,0.567,2025,N01,34.7
F0611,E,200558.0,24,1.0,0.74,2026,N36,31.9
F0612,D,195412.0,36,0.962,0.429,2025,N16,32.72
F0613,C,56039.0,36,0.903,0.492,2024,N30,30.1
F0614,C,239118.0,12,0.917,0.756,2025,N21,32.95
F0615,D,622146.0,12,0.923,0.523,2025,N17,33.0
F0616,B,33049.0,24,0.877,0.264,2025,N01,26.78
F0617,B,14096.0,12,0.942,0.214,2025,N09,26.19
F0618,C,39019.0,24,0.898,0.339,2025,N32,29.07
F0619,A,87420.0,36,0.931,0.411,2024,N40,33.03
F0620,C,30539.0,12,0.954,0.69,2026,N39,31.11
F0621,D,13326.0,24,1.0,0.316,2024,N19,26.57
F0622,A,740798.0,12,0.936,0.38,2024,N29,34.02
F0623,A,61575.0,24,0.996,0.462,2026,N38,28.91
F0624,E,38145.0,24,1.0,0.461,2026,N34,29.57
F0625,A,3189.0,12,0.888,0.601,2026,N04,23.7
F0626,C,303723.0,36,0.935,0.245,2025,N05,32.16
F0627,B,15654.0,24,0.909,0.273,2025,N30,29.17
F0628,D,496093.0,36,1.0,0.394,2026,N30,32.4
F0629,C,200780.0,24,0.981,0.52,2025,N21,30.29
F0630,A,131807.0,36,0.965,0.123,2024,N18,29.94
F0631,A,78350.0,24,0.942,0.751,2025,N17,31.67
F0632,E,322614.0,12,0.856,0.226,2024,N19,32.34
F0633,C,51146.0,12,0.925,0.172,2024,N11,26.34
F0634,D,158660.0,24,0.902,0.656,2024,N30,32.53
F0635,B,55579.0,12,0.939,0.501,2025,N03,29.29
F0636,B,69370.0,36,0.878,0.348,2024,N30,28.57
F0637,C,675987.0,24,0.861,0.262,2026,N17,34.0
F0638,E,389289.0,12,0.886,0.034,2025,N19,33.0
F0639,B,32811.0,24,0.972,0.183,2024,N06,28.12
F0640,E,35718.0,12,0.967,0.703,2026,N31,29.67
F0641,A,106276.0,24,0.95,0.111,2025,N01,28.85
F0642,C,86319.0,36,0.948,0.114,2026,N32,30.66
F0643,B,183913.0,36,0.919,0.598,2026,N14,32.0
F0644,B,63967.0,24,0.975,0.093,2024,N07,29.08
F0645,A,28649.0,36,0.903,0.477,2024,N13,25.89
F0646,E,274403.0,36,0.933,0.36,2025,N33,32.86
F0647,A,77250.0,36,0.974,0.617,2024,N22,30.06
F0648,A,231833.0,12,0.977,0.13,2026,N30,28.02
F0649,A,34014.0,12,0.893,0.254,2026,N19,26.81
F0650,E,628866.0,12,0.924,0.536,2025,N10,34.1
F0651,C,141309.0,12,0.975,0.414,2026,N39,29.69
F0652,E,138595.0,12,0.947,0.644,2026,N04,30.57
F0653,C,160171.0,24,0.958,0.16,2026,N07,28.96
F0654,A,14980.0,24,0.983,0.294,2024,N28,26.9
F0655,A,236930.0,36,0.954,0.136,2025,N20,31.05
F0656,E,53815.0,36,0.892,0.502,2026,N15,29.41
F0657,D,25806.0,24,0.889,0.494,2024,N32,26.63
F0658,B,161136.0,36,0.95,0.165,2024,N05,30.02
F0659,C,815667.0,12,1.0,0.302,2024,N26,30.41
F0660,E,43058.0,24,0.923,0.481,2026,N11,28.7
F0661,E,659815.0,24,0.987,0.16,2026,N38,32.92
F0662,E,6883.0,24,0.933,0.353,2024,N25,27.47
F0663,E,145404.0,12,1.0,0.359,2024,N13,31.17
F0664,A,48825.0,12,0.845,0.02,2026,N27,27.19
F0665,A,136713.0,24,0.877,0.341,2024,N32,29.51
F0666,B,1355814.0,24,0.997,0.209,2026,N30,35.92
F0667,A,228752.0,36,0.995,0.198,2026,N37,31.37
F0668,E,16446.0,36,0.92,0.369,2025,N08,26.35
F0669,A,594693.0,24,0.989,0.692,2025,N15,36.56
F0670,D,27793.0,12,0.922,0.642,2025,N35,28.89
F0671,B,50389.0,36,0.935,0.181,2024,N04,30.14
F0672,D,33458.0,36,0.969,0.441,2025,N11,26.9
F0673,E,117973.0,12,0.937,0.28,2025,N10,29.28
F0674,B,87727.0,12,0.922,0.648,2026,N29,31.23
F0675,D,735191.0,36,0.866,0.414,2026,N03,32.49
F0676,D,153592.0,12,0.88,0.438,2026,N11,30.82
F0677,B,235050.0,36,0.902,0.32,2025,N30,32.56
F0678,A,83836.0,12,1.0,0.385,2025,N35,28.84
F0679,C,397702.0,36,0.886,0.684,2026,N07,35.77
F0680,B,28511.0,24,0.972,0.877,2026,N18,30.83
F0681,D,17483.0,36,0.888,0.353,2024,N29,27.85
F0682,B,300318.0,12,0.961,0.856,2024,N09,33.52
F0683,B,254398.0,12,0.935,0.662,2026,N03,29.76
F0684,A,108580.0,24,0.871,0.083,2026,N39,31.26
F0685,A,1582742.0,12,0.989,0.425,2025,N12,34.13
F0686,C,34468.0,12,0.909,0.143,2024,N07,27.86
F0687,B,580932.0,24,0.874,0.086,2024,N17,30.24
F0688,A,658989.0,12,0.929,0.027,2026,N32,31.57
F0689,D,22770.0,24,0.944,0.284,2025,N17,28.07
F0690,E,202538.0,36,0.969,0.177,2026,N08,30.27
F0691,B,268386.0,24,0.889,0.334,2025,N28,30.89
F0692,C,87801.0,36,0.879,0.387,2025,N15,29.62
F0693,B,88849.0,36,1.0,0.221,2024,N06,30.11
F0694,D,97007.0,36,1.0,0.253,2026,N01,29.57
F0695,A,36209.0,36,0.938,0.303,2026,N03,28.35
F0696,C,19406.0,12,0.968,0.223,2024,N07,26.51
F0697,B,269343.0,12,0.993,0.214,2025,N26,32.68
F0698,A,136842.0,36,0.93,0.454,2024,N28,30.76
F0699,D,108303.0,12,0.912,0.528,2024,N02,28.67
F0700,C,197818.0,36,0.946,0.333,2025,N11,32.51
F0701,B,38915.0,24,0.926,0.331,2026,N38,28.21
F0702,A,47329.0,12,0.923,0.571,2025,N29,29.14
F0703,E,277236.0,24,0.988,0.427,2025,N38,33.62
F0704,B,103663.0,12,1.0,0.154,2026,N26,27.76
F0705,A,188136.0,12,0.963,0.401,2024,N37,30.77
F0706,D,387188.0,12,0.984,0.149,2024,N32,31.3
F0707,E,865818.0,36,0.887,0.772,2026,N34,34.95
F0708,A,34365.0,12,0.965,0.715,2025,N03,27.38
F0709,E,51662.0,24,0.979,0.23,2026,N01,28.03
F0710,E,18161.0,24,0.961,0.124,2025,N25,27.4
F0711,A,44603.0,36,0.861,0.225,2024,N02,27.54
F0712,D,191647.0,36,0.889,0.35,2024,N26,29.5
F0713,D,53789.0,36,0.965,0.2,2024,N32,28.61
F0714,A,1459063.0,36,0.861,0.407,2025,N06,33.3
F0715,E,61241.0,12,0.954,0.157,2024,N19,26.54
F0716,C,11789.0,36,0.936,0.649,2025,N19,31.02
F0717,A,34675.0,36,1.0,0.313,2025,N24,28.39
F0718,E,1295702.0,36,0.907,0.354,2026,N06,33.14
F0719,E,34796.0,12,0.912,0.429,2024,N16,28.28
F0720,B,94195.0,36,1.0,0.346,2026,N23,29.82
F0721,C,38000.0,24,1.0,0.767,2026,N26,27.36
F0722,A,27030.0,36,0.885,0.259,2025,N32,27.96
F0723,A,420282.0,12,0.934,0.426,2026,N17,31.53
F0724,B,24160.0,12,0.951,0.206,2024,N08,27.24
F0725,A,11650.0,24,0.927,0.062,2026,N28,25.52
F0726,C,41514.0,24,0.94,0.571,2024,N30,29.92
F0727,B,45905.0,36,0.971,0.122,2026,N38,28.63
F0728,B,174619.0,12,0.829,0.67,2024,N25,30.99
F0729,E,117657.0,24,0.974,0.138,2025,N24,28.97
F0730,B,460511.0,12,0.935,0.66,2025,N40,32.36
F0731,D,79694.0,36,0.95,0.274,2025,N31,28.83
F0732,C,173931.0,24,0.982,0.169,2026,N22,30.08
F0733,A,187943.0,12,0.952,0.342,2025,N25,31.58
F0734,C,355018.0,24,0.927,0.435,2024,N08,32.03
F0735,E,23346.0,24,1.0,0.431,2024,N27,28.77
F0736,D,68536.0,24,0.901,0.232,2026,N04,28.94
F0737,D,3739.0,12,0.878,0.096,2025,N05,23.41
F0738,E,39041.0,12,0.804,0.543,2026,N16,27.75
F0739,C,23318.0,24,0.989,0.905,2024,N05,31.46
F0740,D,35428.0,24,0.893,0.073,2026,N09,28.84
F0741,B,668723.0,12,0.997,0.182,2026,N03,32.0
F0742,A,353183.0,24,0.986,0.201,2025,N05,30.96
F0743,B,16309.0,12,0.988,0.438,2026,N07,27.18
F0744,A,896726.0,12,0.891,0.645,2024,N33,35.29
F0745,B,478141.0,12,0.965,0.551,2025,N03,29.93
F0746,B,126772.0,24,1.0,0.288,2024,N18,31.14
F0747,A,89629.0,36,0.915,0.694,2026,N27,30.91
F0748,E,85846.0,12,0.896,0.441,2024,N09,28.44
F0749,C,96804.0,24,0.946,0.209,2024,N11,28.59
F0750,A,222511.0,24,0.894,0.287,2025,N22,31.64
F0751,E,72415.0,36,0.917,0.469,2024,N27,29.26
F0752,D,335484.0,36,0.938,0.196,2026,N01,29.68
F0753,B,67360.0,36,0.933,0.523,2025,N28,29.29
F0754,C,43473.0,24,0.953,0.602,2025,N22,29.39
F0755,C,84277.0,12,0.898,0.129,2024,N16,26.91
F0756,B,148626.0,12,0.899,0.208,2025,N15,29.65
F0757,C,165715.0,12,0.936,0.616,2026,N07,31.72
F0758,D,97528.0,36,0.996,0.372,2024,N33,28.4
F0759,E,15865.0,12,0.956,0.191,2025,N40,27.07
F0760,D,19296.0,24,0.814,0.273,2025,N33,25.72
F0761,D,12429.0,12,0.941,0.296,2026,N28,27.99
F0762,D,70729.0,24,0.915,0.182,2024,N23,29.87
F0763,C,225017.0,36,0.914,0.39,2026,N01,32.91
F0764,B,102235.0,12,0.928,0.422,2026,N18,30.86
F0765,B,93269.0,36,0.92,0.308,2024,N33,30.05
F0766,A,55162.0,24,0.927,0.134,2026,N26,29.41
F0767,B,65351.0,24,0.974,0.069,2024,N20,27.0
F0768,A,43956.0,36,1.0,0.245,2025,N09,30.07
F0769,D,357302.0,24,0.912,0.835,2024,N35,31.46
F0770,B,22137.0,36,0.935,0.708,2024,N23,27.05
F0771,C,33995.0,36,1.0,0.044,2024,N11,27.78
F0772,B,177257.0,36,0.881,0.177,2026,N24,30.42
F0773,E,63704.0,36,0.929,0.183,2025,N15,29.56
F0774,C,219756.0,36,0.953,0.28,2026,N24,31.15
F0775,C,56749.0,12,0.906,0.448,2024,N24,30.4
F0776,B,166055.0,36,0.92,0.436,2025,N09,30.5
F0777,A,130822.0,24,1.0,0.348,2026,N14,31.43
F0778,D,21084.0,24,0.969,0.598,2026,N17,27.67
F0779,A,194973.0,36,0.874,0.383,2026,N13,29.79
F0780,E,456846.0,12,1.0,0.502,2026,N13,32.55
F0781,B,44534.0,12,0.96,0.327,2026,N37,29.22
F0782,D,85029.0,12,0.96,0.493,2024,N29,29.54
F0783,A,215503.0,12,0.919,0.757,2026,N40,33.07
F0784,A,639301.0,24,0.974,0.328,2026,N27,32.48
F0785,A,154707.0,12,0.966,0.466,2025,N13,30.85
F0786,E,1664334.0,24,0.94,0.374,2026,N16,35.33
F0787,B,62119.0,36,0.94,0.651,2026,N21,28.15
F0788,B,1027652.0,36,0.942,0.455,2026,N10,35.92
F0789,B,41313.0,12,0.893,0.379,2024,N34,25.63
F0790,A,98398.0,12,0.985,0.438,2024,N09,30.61
F0791,A,33860.0,12,0.908,0.187,2026,N05,26.52
F0792,B,333534.0,36,0.85,0.238,2026,N27,33.56
F0793,D,217834.0,36,0.817,0.58,2025,N04,29.57
F0794,A,12506.0,36,0.947,0.522,2024,N35,27.46
F0795,E,4318.0,12,0.848,0.177,2024,N40,22.57
F0796,B,1357268.0,12,0.935,0.529,2026,N40,35.78
F0797,E,71303.0,36,0.948,0.266,2025,N28,27.41
F0798,C,13610.0,24,0.931,0.453,2025,N37,26.52
F0799,D,34284.0,36,1.0,0.166,2024,N25,28.67
F0800,A,57919.0,24,0.918,0.503,2026,N28,28.72
F0801,C,677091.0,36,0.942,0.176,2025,N02,33.64
F0802,E,172364.0,36,0.962,0.283,2026,N33,32.1
F0803,E,106854.0,24,1.0,0.102,2024,N14,30.46
F0804,C,32269.0,24,0.861,0.35,2026,N04,26.52
F0805,B,225493.0,12,1.0,0.141,2026,N05,29.46
F0806,C,12211.0,36,0.918,0.216,2024,N25,26.75
F0807,B,389705.0,36,1.0,0.555,2025,N23,34.51
F0808,B,325021.0,36,0.898,0.336,2024,N10,30.24
F0809,A,57293.0,12,0.915,0.318,2024,N36,30.17
F0810,E,16537.0,36,0.961,0.419,2024,N31,27.97
F0811,A,47763.0,12,0.924,0.801,2025,N21,31.87
F0812,E,86875.0,24,0.958,0.247,2026,N07,27.36
F0813,D,1125130.0,24,0.926,0.115,2025,N33,34.59
F0814,C,779032.0,12,1.0,0.279,2025,N22,32.49
F0815,B,46368.0,12,0.898,0.623,2024,N12,28.57
F0816,A,40200.0,24,0.957,0.163,2025,N33,26.86
F0817,C,19391.0,12,1.0,0.408,2026,N12,26.11
F0818,D,158420.0,12,0.956,0.236,2025,N39,30.2
F0819,D,52156.0,24,0.849,0.805,2024,N22,31.32
F0820,B,233982.0,12,1.0,0.166,2024,N33,33.14
F0821,A,109005.0,12,0.878,0.487,2026,N37,29.21
F0822,A,52298.0,12,0.897,0.533,2025,N27,27.6
F0823,E,30063.0,36,1.0,0.72,2025,N15,29.89
F0824,C,14720.0,12,1.0,0.433,2026,N31,25.59
F0825,B,202425.0,24,0.933,0.445,2024,N30,30.41
F0826,D,20486.0,36,1.0,0.309,2024,N36,29.47
F0827,A,234266.0,36,0.865,0.397,2026,N05,31.53
F0828,D,13679.0,24,0.947,0.241,2024,N09,26.95
F0829,B,4708.0,36,0.908,0.272,2024,N19,24.5
F0830,A,101595.0,36,0.876,0.466,2026,N25,28.57
F0831,E,48864.0,24,0.831,0.256,2026,N39,28.04
F0832,E,301183.0,12,1.0,0.27,2024,N14,32.85
F0833,A,100005.0,24,0.937,0.351,2025,N30,28.71
F0834,C,91474.0,24,0.987,0.587,2026,N09,30.22
F0835,D,283127.0,36,0.968,0.453,2024,N17,27.97
F0836,E,45503.0,24,0.931,0.443,2024,N08,30.41
F0837,D,216292.0,24,0.938,0.143,2024,N29,31.42
F0838,C,1917757.0,36,0.862,0.466,2026,N25,36.1
F0839,B,132422.0,24,0.925,0.199,2026,N08,30.19
F0840,E,33384.0,36,0.993,0.584,2025,N05,27.33
F0841,D,96893.0,24,1.0,0.098,2026,N26,28.36
F0842,E,38630.0,12,0.897,0.142,2025,N29,24.68
F0843,D,67748.0,36,1.0,0.264,2024,N39,30.47
F0844,A,752319.0,36,0.879,0.579,2025,N10,34.66
F0845,D,31158.0,24,0.95,0.53,2026,N28,29.26
F0846,E,23260.0,36,0.949,0.29,2024,N39,25.95
F0847,E,189786.0,24,0.988,0.08,2026,N17,30.25
F0848,D,62722.0,36,0.901,0.069,2026,N29,27.59
F0849,B,83451.0,36,0.98,0.723,2024,N37,29.95
F0850,C,48373.0,24,0.915,0.786,2026,N08,31.08
F0851,A,137033.0,36,0.871,0.499,2024,N04,30.38
F0852,A,598852.0,12,0.904,0.742,2024,N14,34.07
F0853,D,220733.0,36,0.937,0.311,2024,N36,31.03
F0854,D,62183.0,36,0.986,0.296,2026,N25,27.42
F0855,B,67273.0,36,0.973,0.646,2025,N39,31.91
F0856,D,34541.0,24,0.905,0.101,2025,N39,26.87
F0857,A,35711.0,12,0.966,0.839,2025,N38,29.34
F0858,E,317912.0,24,0.977,0.315,2025,N05,32.26
F0859,B,196810.0,12,0.98,0.395,2025,N28,30.44
F0860,B,180394.0,36,0.949,0.745,2026,N18,33.35
F0861,E,188537.0,24,0.908,0.439,2026,N33,28.87
F0862,A,48942.0,24,0.893,0.455,2026,N37,28.46
F0863,C,102538.0,36,0.953,0.254,2025,N15,29.61
F0864,D,193644.0,36,0.97,0.385,2024,N31,32.93
F0865,C,710923.0,36,0.895,0.141,2026,N12,33.32
F0866,B,142251.0,12,0.91,0.565,2024,N40,28.62
F0867,D,113981.0,36,1.0,0.488,2025,N33,29.43
F0868,B,40712.0,12,0.991,0.395,2026,N31,27.9
F0869,B,359676.0,12,0.965,0.254,2024,N38,31.67
F0870,D,77858.0,36,0.947,0.654,2025,N07,30.2
F0871,E,142451.0,12,0.923,0.446,2024,N18,28.94
F0872,A,168584.0,36,0.9,0.279,2024,N24,31.8
F0873,D,41574.0,24,0.992,0.781,2024,N31,28.19
F0874,A,149606.0,36,0.893,0.23,2025,N33,29.27
F0875,E,407243.0,24,1.0,0.236,2025,N24,32.77
F0876,E,36802.0,12,1.0,0.585,2024,N14,29.53
F0877,D,56956.0,36,0.888,0.152,2026,N24,27.28
F0878,E,39909.0,36,0.844,0.491,2024,N32,27.97
F0879,D,119439.0,12,0.943,0.245,2024,N36,30.33
F0880,E,1289366.0,24,0.88,0.299,2024,N37,34.32
F0881,E,156571.0,24,0.91,0.385,2024,N26,31.79
F0882,C,467669.0,24,0.954,0.277,2024,N12,33.79
F0883,A,141894.0,12,0.868,0.385,2025,N13,29.79
F0884,B,64279.0,12,0.95,0.25,2024,N13,27.73
F0885,A,108063.0,12,1.0,0.234,2024,N40,27.59
F0886,A,140739.0,24,1.0,0.111,2025,N35,30.59
F0887,C,84471.0,12,0.992,0.687,2026,N31,29.66
F0888,A,98319.0,36,0.926,0.176,2025,N20,30.06
F0889,E,118156.0,24,0.917,0.55,2024,N27,29.58
F0890,D,50221.0,12,0.912,0.83,2026,N29,27.43
F0891,D,653586.0,24,0.948,0.165,2025,N33,31.64
F0892,B,178792.0,36,0.977,0.122,2024,N17,30.34
F0893,A,91989.0,12,0.935,0.524,2024,N36,30.28
F0894,D,53751.0,24,0.871,0.475,2026,N29,28.2
F0895,B,165564.0,12,0.874,0.775,2025,N14,30.5
F0896,A,42279.0,36,0.901,0.663,2025,N10,29.48
