"fournisseur","categorie","volume_annuel","duree_accord","taux_service","part_marque_nationale","exercice","negociateur","taux_remise","attendu","borne_basse","ecart","signale","enjeu_euros"
"F0691","B",268386,24,0.889,0.334,2025,"N28",30.89,31.2843360526018,29.3205642685385,-0.394336052601759,FALSE,1058.34275813576
"F0692","C",87801,36,0.879,0.387,2025,"N15",29.62,29.9564929160599,27.9923450522551,-0.336492916059886,FALSE,295.44414522974
"F0693","B",88849,36,1,0.221,2024,"N06",30.11,29.6709660221749,27.7063969342787,0.439033977825126,FALSE,0
"F0694","D",97007,36,1,0.253,2026,"N01",29.57,29.8586203183544,27.8941659060899,-0.288620318354372,FALSE,279.981912226026
"F0695","A",36209,36,0.938,0.303,2026,"N03",28.35,28.2742619405755,26.3101380122277,0.0757380594245305,FALSE,0
"F0696","C",19406,12,0.968,0.223,2024,"N07",26.51,26.7138905604754,24.7492317868354,-0.203890560475433,FALSE,39.5670021658625
"F0697","B",269343,12,0.993,0.214,2025,"N26",32.68,30.8839370798429,28.9191991862203,1.79606292015708,FALSE,0
"F0698","A",136842,36,0.93,0.454,2024,"N28",30.76,30.8622904656344,28.8986190879206,-0.102290465634439,FALSE,139.97631898348
"F0699","D",108303,12,0.912,0.528,2024,"N02",28.67,30.1588111549672,28.1950159156325,-1.48881115496716,FALSE,1612.42714516408
"F0700","C",197818,36,0.946,0.333,2025,"N11",32.51,31.2330144124869,29.2692629819831,1.27698558751307,FALSE,0
"F0701","B",38915,24,0.926,0.331,2026,"N38",28.21,28.2033757185532,26.2398785810846,0.00662428144678628,FALSE,0
"F0702","A",47329,12,0.923,0.571,2025,"N29",29.14,28.9458096006218,26.9818631638024,0.194190399378197,FALSE,0
"F0703","E",277236,24,0.988,0.427,2025,"N38",33.62,31.7343671163395,29.7703729414522,1.8856328836605,FALSE,0
"F0704","B",103663,12,1,0.154,2026,"N26",27.76,29.1500219635156,27.1851469301997,-1.39002196351562,FALSE,1440.9384680392
"F0705","A",188136,12,0.963,0.401,2024,"N37",30.77,30.754556441731,28.7908249441938,0.0154435582689807,FALSE,0
"F0706","D",387188,12,0.984,0.149,2024,"N32",31.3,31.2707447712866,29.3059922548247,0.0292552287134207,FALSE,0
"F0707","E",865818,36,0.887,0.772,2026,"N34",34.95,34.5549315637281,32.5887664456899,0.395068436271906,FALSE,0
"F0708","A",34365,12,0.965,0.715,2025,"N03",27.38,28.9173914116318,26.952670131716,-1.53739141163178,FALSE,528.32455860726
"F0709","E",51662,24,0.979,0.23,2026,"N01",28.03,28.4228099927474,26.4589288912289,-0.392809992747431,FALSE,202.933498453178
"F0710","E",18161,24,0.961,0.124,2025,"N25",27.4,26.4641867787463,24.4995419372074,0.93581322125365,FALSE,0
"F0711","A",44603,36,0.861,0.225,2024,"N02",27.54,28.2915524294441,26.3265543456991,-0.751552429444086,FALSE,335.214930104946
"F0712","D",191647,36,0.889,0.35,2024,"N26",29.5,31.0604710216191,29.0964907076381,-1.56047102161908,FALSE,2990.59589880231
"F0713","D",53789,36,0.965,0.2,2024,"N32",28.61,28.746811766688,26.7828365276723,-0.136811766688016,FALSE,73.5896811838169
"F0714","A",1459063,36,0.861,0.407,2025,"N06",33.3,34.3917926812685,32.4257777833985,-1.0917926812685,FALSE,15929.9430490966
"F0715","E",61241,12,0.954,0.157,2024,"N19",26.54,28.2254774008541,26.2612155217191,-1.68547740085412,FALSE,1032.20321505707
"F0716","C",11789,36,0.936,0.649,2025,"N19",31.02,27.5840163540682,25.6188863065601,3.43598364593183,FALSE,0
"F0717","A",34675,36,1,0.313,2025,"N24",28.39,28.3989833143517,26.4342434825766,-0.00898331435170618,FALSE,3.11496425145412
"F0718","E",1295702,36,0.907,0.354,2026,"N06",33.14,34.0634072363389,32.098178554278,-0.923407236338946,FALSE,11964.6060293884
"F0719","E",34796,12,0.912,0.429,2024,"N16",28.28,28.0049780606063,26.0408901239341,0.275021939393714,FALSE,0
"F0720","B",94195,36,1,0.346,2026,"N23",29.82,30.0676890036773,28.1032513461436,-0.247689003677294,FALSE,233.310657013827
"F0721","C",38000,24,1,0.767,2026,"N26",27.36,29.5980646453643,27.6331144547471,-2.2380646453643,TRUE,850.464565238433
"F0722","A",27030,36,0.885,0.259,2025,"N32",27.96,27.6303013391651,25.6656331688708,0.329698660834932,FALSE,0
"F0723","A",420282,12,0.934,0.426,2026,"N17",31.53,32.0094086573336,30.045371450146,-0.4794086573336,FALSE,2014.8682932148
"F0724","B",24160,12,0.951,0.206,2024,"N08",27.24,26.9182299500253,24.9537855723454,0.321770049974706,FALSE,0
"F0725","A",11650,24,0.927,0.062,2026,"N28",25.52,25.493263440994,23.5279772875334,0.0267365590059576,FALSE,0
"F0726","C",41514,24,0.94,0.571,2024,"N30",29.92,29.123409537663,27.1598941573725,0.796590462336983,FALSE,0
"F0727","B",45905,36,0.971,0.122,2026,"N38",28.63,28.2312408907161,26.2665378198705,0.398759109283912,FALSE,0
"F0728","B",174619,12,0.829,0.67,2024,"N25",30.99,31.1609730837853,29.1945937835217,-0.170973083785345,FALSE,298.551489175131
"F0729","E",117657,24,0.974,0.138,2025,"N24",28.97,29.5219488614987,27.5578840552676,-0.551948861498669,FALSE,649.406471973489
"F0730","B",460511,12,0.935,0.66,2025,"N40",32.36,32.8875434845676,30.9227450874407,-0.527543484567559,FALSE,2429.39577621691
"F0731","D",79694,36,0.95,0.274,2025,"N31",28.83,29.5565486079648,27.5927862040479,-0.726548607964833,FALSE,579.015647631494
"F0732","C",173931,24,0.982,0.169,2026,"N22",30.08,30.3196748953683,28.3556754190278,-0.239674895368342,FALSE,416.868942263111
"F0733","A",187943,12,0.952,0.342,2025,"N25",31.58,30.5663683856232,28.6026434157563,1.01363161437679,FALSE,0
"F0734","C",355018,24,0.927,0.435,2024,"N08",32.03,32.1550644799194,30.1915161967864,-0.125064479919423,FALSE,444.001415320338
"F0735","E",23346,24,1,0.431,2024,"N27",28.77,27.803470240841,25.8390945693212,0.966529759159034,FALSE,0
"F0736","D",68536,24,0.901,0.232,2026,"N04",28.94,28.7898004112086,26.8262027599298,0.150199588791406,FALSE,0
"F0737","D",3739,12,0.878,0.096,2025,"N05",23.41,23.4868730553529,21.5196526271208,-0.0768730553528592,FALSE,2.8742835396434
"F0738","E",39041,12,0.804,0.543,2026,"N16",27.75,28.2570661962342,26.2901074010004,-0.507066196234224,FALSE,197.963713671803
"F0739","C",23318,24,0.989,0.905,2024,"N05",31.46,29.2311675039247,27.2652293720155,2.22883249607533,FALSE,0
"F0740","D",35428,24,0.893,0.073,2026,"N09",28.84,27.2703231118013,25.3057802842147,1.56967688819874,FALSE,0
"F0741","B",668723,12,0.997,0.182,2026,"N03",32,32.2100656775194,30.2445554209587,-0.210065677519403,FALSE,1404.75750067807
"F0742","A",353183,24,0.986,0.201,2025,"N05",30.96,31.5107135151785,29.5465240682284,-0.550713515178469,FALSE,1945.02651431277
"F0743","B",16309,12,0.988,0.438,2026,"N07",27.18,26.9626300416432,24.9977335875461,0.217369958356816,FALSE,0
"F0744","A",896726,12,0.891,0.645,2024,"N33",35.29,33.8063754588411,31.8408973995104,1.48362454115893,FALSE,0
"F0745","B",478141,12,0.965,0.551,2025,"N03",29.93,32.6980649315655,30.7334633494853,-2.76806493156546,TRUE,13235.2533444364
"F0746","B",126772,24,1,0.288,2024,"N18",31.14,30.1632515726172,28.1992933360839,0.976748427382756,FALSE,0
"F0747","A",89629,36,0.915,0.694,2026,"N27",30.91,30.7823509091012,28.8179033330566,0.127649090898771,FALSE,0
"F0748","E",85846,12,0.896,0.441,2024,"N09",28.44,29.4553348900528,27.4912711230055,-1.01533489005283,FALSE,871.624389714753
"F0749","C",96804,24,0.946,0.209,2024,"N11",28.59,29.4734620936468,27.5099532153478,-0.883462093646809,FALSE,855.226645133857
"F0750","A",222511,24,0.894,0.287,2025,"N22",31.64,30.8380410474235,28.8743871294985,0.801958952576484,FALSE,0
"F0751","E",72415,36,0.917,0.469,2024,"N27",29.26,29.8324866788868,27.8686108941156,-0.572486678886818,FALSE,414.56622851589
"F0752","D",335484,36,0.938,0.196,2026,"N01",29.68,31.5690199850583,29.6047866136339,-1.8890199850583,FALSE,6337.35980667299
"F0753","B",67360,36,0.933,0.523,2025,"N28",29.29,29.9497880861332,27.9859841846821,-0.659788086133155,FALSE,444.433254819293
"F0754","C",43473,24,0.953,0.602,2025,"N22",29.39,29.3092545993435,27.3456217200157,0.0807454006565287,FALSE,0
"F0755","C",84277,12,0.898,0.129,2024,"N16",26.91,28.6699483076815,26.7052702448897,-1.75994830768152,FALSE,1483.23163526475
"F0756","B",148626,12,0.899,0.208,2025,"N15",29.65,29.7364239062662,27.7721491546565,-0.0864239062661802,FALSE,128.448394927173
"F0757","C",165715,12,0.936,0.616,2026,"N07",31.72,31.1462712349048,29.1822914400397,0.573728765095186,FALSE,0
"F0758","D",97528,36,0.996,0.372,2024,"N33",28.4,30.2426005928311,28.2785533488792,-1.84260059283108,FALSE,1797.0515061763
"F0759","E",15865,12,0.956,0.191,2025,"N40",27.07,26.1609232988743,24.1960114657242,0.909076701125731,FALSE,0
"F0760","D",19296,24,0.814,0.273,2025,"N33",25.72,26.7581172546412,24.7918483234868,-1.03811725464119,FALSE,200.315105455565
"F0761","D",12429,12,0.941,0.296,2026,"N28",27.99,26.044363267555,24.0797324624881,1.94563673244503,FALSE,0
"F0762","D",70729,24,0.915,0.182,2024,"N23",29.87,28.7745574757301,26.8110844486359,1.09544252426987,FALSE,0
"F0763","C",225017,36,0.914,0.39,2026,"N01",32.91,31.4905539143834,29.5267428265686,1.41944608561662,FALSE,0
"F0764","B",102235,12,0.928,0.422,2026,"N18",30.86,29.7450105402861,27.7812518316067,1.11498945971388,FALSE,0
"F0765","B",93269,36,0.92,0.308,2024,"N33",30.05,29.841884614656,27.8781296889836,0.208115385343984,FALSE,0
"F0766","A",55162,24,0.927,0.134,2026,"N26",29.41,28.1870965504146,26.2231703978943,1.2229034495854,FALSE,0
"F0767","B",65351,24,0.974,0.069,2024,"N20",27,28.4365465031245,26.4722390190542,-1.43654650312448,FALSE,938.79750525688
"F0768","A",43956,36,1,0.245,2025,"N09",30.07,28.5877843506306,26.6230199727685,1.48221564936939,FALSE,0
"F0769","D",357302,24,0.912,0.835,2024,"N35",31.46,33.2002113176465,31.2351379104388,-1.74021131764648,FALSE,6217.80984217724
"F0770","B",22137,36,0.935,0.708,2024,"N23",27.05,28.6906054175454,26.7256767334433,-1.64060541754539,FALSE,363.180821282022
"F0771","C",33995,36,1,0.044,2024,"N11",27.78,27.7006946045372,25.735102499958,0.0793053954627823,FALSE,0
"F0772","B",177257,36,0.881,0.177,2026,"N24",30.42,30.3801515285948,28.4155168340512,0.0398484714052003,FALSE,0
"F0773","E",63704,36,0.929,0.183,2025,"N15",29.56,28.8458664994161,26.8816688794722,0.714133500583941,FALSE,0
"F0774","C",219756,36,0.953,0.28,2026,"N24",31.15,31.2172044208862,29.2532955047976,-0.0672044208861777,FALSE,147.685747162629
"F0775","C",56749,12,0.906,0.448,2024,"N24",30.4,28.9484144765389,26.9844551024629,1.45158552346107,FALSE,0
"F0776","B",166055,36,0.92,0.436,2025,"N09",30.5,31.12621416942,29.1624949397188,-0.626214169420017,FALSE,1039.85993903041
"F0777","A",130822,24,1,0.348,2026,"N14",31.43,30.3107131447079,28.3468419122475,1.1192868552921,FALSE,0
"F0778","D",21084,24,0.969,0.598,2026,"N17",27.67,28.0589034062579,26.0947398364637,-0.388903406257874,FALSE,81.9963941754103
"F0779","A",194973,36,0.874,0.383,2026,"N13",29.79,31.0754941586636,29.1110656309832,-1.28549415866357,FALSE,2506.36652597112
"F0780","E",456846,12,1,0.502,2026,"N13",32.55,32.4540909052469,30.4891588167556,0.0959090947530612,FALSE,0
"F0781","B",44534,12,0.96,0.327,2026,"N37",29.22,28.2069814795261,26.2429672633136,1.01301852047395,FALSE,0
"F0782","D",85029,12,0.96,0.493,2024,"N29",29.54,29.7636441697382,27.7999877950298,-0.223644169738154,FALSE,190.162401086655
"F0783","A",215503,12,0.919,0.757,2026,"N40",33.07,31.8414664030777,29.8767513559065,1.22853359692233,FALSE,0
"F0784","A",639301,24,0.974,0.328,2026,"N27",32.48,32.7473070587354,30.7831596068875,-0.267307058735376,FALSE,1708.89669956585
"F0785","A",154707,12,0.966,0.466,2025,"N13",30.85,30.6297318250825,28.6659588489834,0.220268174917475,FALSE,0
"F0786","E",1664334,24,0.94,0.374,2026,"N16",35.33,34.3176692486135,32.3527516873458,1.01233075138647,FALSE,0
"F0787","B",62119,36,0.94,0.651,2026,"N21",28.15,30.144619410656,28.180349794482,-1.99461941065595,TRUE,1239.03763170537
"F0788","B",1027652,36,0.942,0.455,2026,"N10",35.92,34.0932333423378,32.1283785305454,1.82676665766218,FALSE,0
"F0789","B",41313,12,0.893,0.379,2024,"N34",25.63,28.1543964520711,26.1901746468603,-2.52439645207112,TRUE,1042.90390624414
"F0790","A",98398,12,0.985,0.438,2024,"N09",30.61,29.8617536657194,27.8978662502895,0.748246334280612,FALSE,0
"F0791","A",33860,12,0.908,0.187,2026,"N05",26.52,27.2525511877071,25.2880941973842,-0.732551187707088,FALSE,248.04183215762
"F0792","B",333534,36,0.85,0.238,2026,"N27",33.56,31.5058330084934,29.5404573900324,2.05416699150663,FALSE,0
"F0793","D",217834,36,0.817,0.58,2025,"N04",29.57,31.7762356814767,29.8099746164378,-2.20623568147672,TRUE,4805.93143438801
"F0794","A",12506,36,0.947,0.522,2024,"N35",27.46,27.2521599674629,25.2874036407852,0.207840032537128,FALSE,0
"F0795","E",4318,12,0.848,0.177,2024,"N40",22.57,23.832042661153,21.8645084030886,-1.26204266115298,FALSE,54.4950021085855
"F0796","B",1357268,12,0.935,0.529,2026,"N40",35.78,34.2025348269604,32.2371591739556,1.57746517303961,FALSE,0
"F0797","E",71303,36,0.948,0.266,2025,"N28",27.41,29.2957855256125,27.3317958121009,-1.88578552561252,FALSE,1344.62165332749
"F0798","C",13610,24,0.931,0.453,2025,"N37",26.52,26.9879339289378,25.0238533483009,-0.467933928937804,FALSE,63.6858077284351
"F0799","D",34284,36,1,0.166,2024,"N25",28.67,27.9958567208716,26.0310903950491,0.674143279128437,FALSE,0
"F0800","A",57919,24,0.918,0.503,2026,"N28",28.72,29.2857485434569,27.3223558297927,-0.565748543456944,FALSE,327.675898884828
"F0801","C",677091,36,0.942,0.176,2025,"N02",33.64,32.7555195203693,30.7907145158823,0.884480479630732,FALSE,0
"F0802","E",172364,36,0.962,0.283,2026,"N33",32.1,30.7358159077185,28.7717920402563,1.36418409228153,FALSE,0
"F0803","E",106854,24,1,0.102,2024,"N14",30.46,29.3154631864668,27.3509057256014,1.14453681353317,FALSE,0
"F0804","C",32269,24,0.861,0.35,2026,"N04",26.52,27.9003902198307,25.9359115768211,-1.38039021983074,FALSE,445.438120037182
"F0805","B",225493,12,1,0.141,2026,"N05",29.46,30.3586614415658,28.3935865677166,-0.898661441565821,FALSE,2026.41864443002
"F0806","C",12211,36,0.918,0.216,2024,"N25",26.75,26.3885880769403,24.423587152422,0.361411923059748,FALSE,0
"F0807","B",389705,36,1,0.555,2025,"N23",34.51,32.979165969402,31.0142142312398,1.53083403059796,FALSE,0
"F0808","B",325021,36,0.898,0.336,2024,"N10",30.24,31.8792291426682,29.9150001001547,-1.63922914266815,FALSE,5327.83895179146
"F0809","A",57293,12,0.915,0.318,2024,"N36",30.17,28.5252111067231,26.561436044531,1.64478889327686,FALSE,0
"F0810","E",16537,36,0.961,0.419,2024,"N31",27.97,27.4090283555436,25.4444381051674,0.560971644456369,FALSE,0
"F0811","A",47763,12,0.924,0.801,2025,"N21",31.87,29.6090411479047,27.644083213395,2.2609588520953,FALSE,0
"F0812","E",86875,24,0.958,0.247,2026,"N07",27.36,29.2636109934587,27.3001028437678,-1.90361099345869,FALSE,1653.76205056724
"F0813","D",1125130,24,0.926,0.115,2025,"N33",34.59,33.0403419893906,31.0752875686497,1.54965801060945,FALSE,0
"F0814","C",779032,12,1,0.279,2025,"N22",32.49,32.8484182085393,30.8830693060876,-0.358418208539291,FALSE,2792.19253834781
"F0815","B",46368,12,0.898,0.623,2024,"N12",28.57,29.0348930982022,27.0703824331864,-0.464893098202182,FALSE,215.561631774388
"F0816","A",40200,24,0.957,0.163,2025,"N33",26.86,27.867040191506,25.9031575458718,-1.00704019150601,FALSE,404.830156985416
"F0817","C",19391,12,1,0.408,2026,"N12",26.11,27.2450625752665,25.2802151885814,-1.13506257526655,FALSE,220.099983969936
"F0818","D",158420,12,0.956,0.236,2025,"N39",30.2,30.030642574205,28.0667143405661,0.169357425794971,FALSE,0
"F0819","D",52156,24,0.849,0.805,2024,"N22",31.32,29.9132477355422,27.947503962563,1.40675226445785,FALSE,0
"F0820","B",233982,12,1,0.166,2024,"N33",33.14,30.5365377251761,28.5715710869059,2.60346227482394,FALSE,0
"F0821","A",109005,12,0.878,0.487,2026,"N37",29.21,29.9125646810169,27.9483176457603,-0.702564681016899,FALSE,765.83063054247
"F0822","A",52298,12,0.897,0.533,2025,"N27",27.6,28.9496852826417,26.9856286990424,-1.34968528264166,FALSE,705.858409115936
"F0823","E",30063,36,1,0.72,2025,"N15",29.89,29.287045898563,27.3212618208401,0.602954101436971,FALSE,0
"F0824","C",14720,12,1,0.433,2026,"N31",25.59,26.8737924975991,24.9087242506833,-1.28379249759915,FALSE,188.974255646595
"F0825","B",202425,24,0.933,0.445,2024,"N30",30.41,31.2276533978383,29.2643004614255,-0.817653397838303,FALSE,1655.13489057418
"F0826","D",20486,36,1,0.309,2024,"N36",29.47,27.5729019133023,25.6081784374995,1.89709808669765,FALSE,0
"F0827","A",234266,36,0.865,0.397,2026,"N05",31.53,31.391986737206,29.4273176224007,0.13801326279405,FALSE,0
"F0828","D",13679,24,0.947,0.241,2024,"N09",26.95,26.3686120632629,24.4045917766952,0.581387936737066,FALSE,0
"F0829","B",4708,36,0.908,0.272,2024,"N19",24.5,24.9334943281118,22.9675571942279,-0.433494328111827,FALSE,20.4089129675048
"F0830","A",101595,36,0.876,0.466,2026,"N25",28.57,30.2681956565172,28.3038574938997,-1.6981956565172,FALSE,1725.28187723865
"F0831","E",48864,24,0.831,0.256,2026,"N39",28.04,28.1264326759174,26.1611055472837,-0.0864326759173721,FALSE,42.2344627602647
"F0832","E",301183,12,1,0.27,2024,"N14",32.85,31.1825713724899,29.2177994325141,1.66742862751007,FALSE,0
"F0833","A",100005,24,0.937,0.351,2025,"N30",28.71,29.8180012871972,27.8548479256885,-1.1080012871972,FALSE,1108.05668726156
"F0834","C",91474,24,0.987,0.587,2026,"N09",30.22,30.4748507019714,28.5111111852026,-0.254850701971421,FALSE,233.122131121337
"F0835","D",283127,36,0.968,0.453,2024,"N17",27.97,32.124959661465,30.1610481501825,-4.15495966146504,TRUE,11763.8126407161
"F0836","E",45503,24,0.931,0.443,2024,"N08",30.41,28.7757976272199,26.8123862939096,1.63420237278012,FALSE,0
"F0837","D",216292,24,0.938,0.143,2024,"N29",31.42,30.499422572004,28.5357681436461,0.920577427995969,FALSE,0
"F0838","C",1917757,36,0.862,0.466,2026,"N25",36.1,35.0390310992097,33.0727002880227,1.06096890079031,FALSE,0
"F0839","B",132422,24,0.925,0.199,2026,"N08",30.19,29.7924693105288,27.8288704846533,0.397530689471171,FALSE,0
"F0840","E",33384,36,0.993,0.584,2025,"N05",27.33,29.0592700617114,27.0942668995219,-1.72927006171138,FALSE,577.299517401727
"F0841","D",96893,24,1,0.098,2026,"N26",28.36,29.1552760806768,27.1908075930685,-0.795276080676818,FALSE,770.566852850189
"F0842","E",38630,12,0.897,0.142,2025,"N29",24.68,27.3372472748435,25.3725142989635,-2.65724727484352,TRUE,1026.49462227205
"F0843","D",67748,36,1,0.264,2024,"N39",30.47,29.362727370357,27.3984478826922,1.107272629643,FALSE,0
"F0844","A",752319,36,0.879,0.579,2025,"N10",34.66,33.848176512672,31.8829715087081,0.811823487328006,FALSE,0
"F0845","D",31158,24,0.95,0.53,2026,"N28",29.26,28.457477027749,26.4938761132275,0.802522972251008,FALSE,0
"F0846","E",23260,36,0.949,0.29,2024,"N39",25.95,27.5701477109377,25.6058140256949,-1.62014771093767,FALSE,376.846357564103
"F0847","E",189786,24,0.988,0.08,2026,"N17",30.25,30.1029062952928,28.1383518970832,0.147093704707203,FALSE,0
"F0848","D",62722,36,0.901,0.069,2026,"N29",27.59,28.4550754897965,26.4903278412264,-0.865075489796475,FALSE,542.592648710145
"F0849","B",83451,36,0.98,0.723,2024,"N37",29.95,30.9441845970626,28.9793377451485,-0.994184597062574,FALSE,829.656988094689
"F0850","C",48373,24,0.915,0.786,2026,"N08",31.08,29.8772338035428,27.9128259348799,1.20276619645724,FALSE,0
"F0851","A",137033,36,0.871,0.499,2024,"N04",30.38,30.8793274143789,28.9149062412664,-0.499327414378858,FALSE,684.24333574578
"F0852","A",598852,12,0.904,0.742,2024,"N14",34.07,33.4568410366005,31.4914663066507,0.613158963399535,FALSE,0
"F0853","D",220733,36,0.937,0.311,2024,"N36",31.03,31.2681077084464,29.3044302058958,-0.238107708446439,FALSE,525.582288085077
"F0854","D",62183,36,0.986,0.296,2026,"N25",27.42,29.2404890369935,27.2763138713321,-1.82048903699351,FALSE,1132.03469787368
"F0855","B",67273,36,0.973,0.646,2025,"N39",31.91,30.3693160883218,28.404870134964,1.54068391167817,FALSE,0
"F0856","D",34541,24,0.905,0.101,2025,"N39",26.87,27.3797048680073,25.4154979189157,-0.509704868007343,FALSE,176.057158458417
"F0857","A",35711,12,0.966,0.839,2025,"N38",29.34,29.3295055282138,27.3640598887958,0.0104944717861777,FALSE,0
"F0858","E",317912,24,0.977,0.315,2025,"N05",32.26,31.6179755401106,29.6540573822823,0.642024459889395,FALSE,0
"F0859","B",196810,12,0.98,0.395,2025,"N28",30.44,30.8655457344704,28.9014059502706,-0.425545734470447,FALSE,837.516560011286
"F0860","B",180394,36,0.949,0.745,2026,"N18",33.35,32.1341301376181,30.1693942369179,1.21586986238186,FALSE,0
"F0861","E",188537,24,0.908,0.439,2026,"N33",28.87,30.9502641340673,28.9868125842925,-2.08026413406735,TRUE,3922.06759044655
"F0862","A",48942,24,0.893,0.455,2026,"N37",28.46,28.833605854485,26.8699542131014,-0.373605854484953,FALSE,182.850177302026
"F0863","C",102538,36,0.953,0.254,2025,"N15",29.61,29.9712664449645,28.0074071855845,-0.361266444964464,FALSE,370.435387337662
"F0864","D",193644,36,0.97,0.385,2024,"N31",32.93,31.3288834654106,29.3651272398414,1.60111653458937,FALSE,0
"F0865","C",710923,36,0.895,0.141,2026,"N12",33.32,32.5976747251122,30.6323767031092,0.722325274887815,FALSE,0
"F0866","B",142251,12,0.91,0.565,2024,"N40",28.62,30.6906384191989,28.72649892925,-2.07063841919894,TRUE,2945.50385769468
"F0867","D",113981,36,1,0.488,2025,"N33",29.43,30.8263069426185,28.8619271729846,-1.39630694261848,FALSE,1591.52461626597
"F0868","B",40712,12,0.991,0.395,2026,"N31",27.9,28.3131190840949,26.3487276496293,-0.413119084094866,FALSE,168.189041516702
"F0869","B",359676,12,0.965,0.254,2024,"N38",31.67,31.4066083610198,29.4421785099451,0.263391638980153,FALSE,0
"F0870","D",77858,36,0.947,0.654,2025,"N07",30.2,30.5820040494295,28.6178052264974,-0.382004049429451,FALSE,297.420712804782
"F0871","E",142451,12,0.923,0.446,2024,"N18",28.94,30.3319794952335,28.3681311238077,-1.39197949523355,FALSE,1982.88871075514
"F0872","A",168584,36,0.9,0.279,2024,"N24",31.8,30.6476601417382,28.6836248031269,1.15233985826177,FALSE,0
"F0873","D",41574,24,0.992,0.781,2024,"N31",28.19,29.753232745647,27.7883880496205,-1.56323274564697,FALSE,649.89838167527
"F0874","A",149606,36,0.893,0.23,2025,"N33",29.27,30.3054520736245,28.3412387161546,-1.03545207362451,FALSE,1549.09842926668
"F0875","E",407243,24,1,0.236,2025,"N24",32.77,31.8361790032884,29.8715780606619,0.933820996711606,FALSE,0
"F0876","E",36802,12,1,0.585,2024,"N14",29.53,28.7000686519926,26.735202688784,0.829931348007403,FALSE,0
"F0877","D",56956,36,0.888,0.152,2026,"N24",27.28,28.509325841704,26.5447577374652,-1.22932584170404,FALSE,700.17482640095
"F0878","E",39909,36,0.844,0.491,2024,"N32",27.97,28.8014674044094,26.8360876478192,-0.831467404409427,FALSE,331.830326425758
"F0879","D",119439,12,0.943,0.245,2024,"N36",30.33,29.5785968553117,27.6148924479206,0.75140314468829,FALSE,0
"F0880","E",1289366,24,0.88,0.299,2024,"N37",34.32,33.6325113365006,31.667171717423,0.68748866349943,FALSE,0
"F0881","E",156571,24,0.91,0.385,2024,"N26",31.79,30.5529069486758,28.5894812355165,1.23709305132424,FALSE,0
"F0882","C",467669,24,0.954,0.277,2024,"N12",33.79,32.2035057745045,30.2396298880292,1.58649422549545,FALSE,0
"F0883","A",141894,12,0.868,0.385,2025,"N13",29.79,30.077873098437,28.1134832641519,-0.287873098437014,FALSE,408.474654296217
"F0884","B",64279,12,0.95,0.25,2024,"N13",27.73,28.6078990235138,26.6439383308124,-0.877899023513791,FALSE,564.30471332443
"F0885","A",108063,12,1,0.234,2024,"N40",27.59,29.4666757309015,27.5023011179523,-1.87667573090147,FALSE,2027.99209508406
"F0886","A",140739,24,1,0.111,2025,"N35",30.59,29.8099473979178,27.8454388977125,0.780052602082243,FALSE,0
"F0887","C",84471,12,0.992,0.687,2026,"N31",29.66,30.372251860885,28.4076073715965,-0.712251860885015,FALSE,601.646269408181
"F0888","A",98319,36,0.926,0.176,2025,"N20",30.06,29.5434958659748,27.5793953061759,0.516504134025247,FALSE,0
"F0889","E",118156,24,0.917,0.55,2024,"N27",29.58,30.5790645271325,28.6155348170626,-0.999064527132507,FALSE,1180.45468267869
"F0890","D",50221,12,0.912,0.83,2026,"N29",27.43,29.7282698383161,27.7629752139584,-2.29826983831608,TRUE,1154.21409550072
"F0891","D",653586,24,0.948,0.165,2025,"N33",31.64,32.3522687994397,30.3879342173734,-0.712268799439691,FALSE,4655.2891555059
"F0892","B",178792,36,0.977,0.122,2024,"N17",30.34,30.4694834544375,28.504884387147,-0.129483454437537,FALSE,231.506057857961
"F0893","A",91989,12,0.935,0.524,2024,"N36",30.28,29.90096793811,27.9373089324848,0.379032061889962,FALSE,0
"F0894","D",53751,24,0.871,0.475,2026,"N29",28.2,29.0269126972658,27.0629358501529,-0.826912697265811,FALSE,444.473843907346
"F0895","B",165564,12,0.874,0.775,2025,"N14",30.5,31.4562924759425,29.490764853674,-0.956292475942508,FALSE,1583.27607486945
"F0896","A",42279,36,0.901,0.663,2025,"N10",29.48,29.5133121492209,27.5487449303638,-0.0333121492208974,FALSE,14.0840435691032
"F0897","B",24041,12,0.942,0.269,2024,"N22",26.56,27.070418389585,25.1061540092063,-0.510418389584984,FALSE,122.709685040126
"F0898","B",68131,36,0.971,0.435,2025,"N36",29.78,29.7925462545799,27.8286221326318,-0.0125462545798882,FALSE,8.54788870782365
"F0899","C",467783,12,0.935,0.374,2025,"N10",31.68,32.1752106453945,30.21099800048,-0.495210645394472,FALSE,2316.51121334562
"F0900","C",83264,24,0.974,0.194,2024,"N24",30.16,29.2428930167741,27.2791475959523,0.917106983225892,FALSE,0
"F0901","D",130444,36,0.932,0.489,2025,"N05",29.35,30.9165120696909,28.9528230408603,-1.56651206969092,FALSE,2043.42100418762
"F0902","B",33700,24,0.95,0.442,2025,"N24",29.02,28.3789534832165,26.4154516525593,0.641046516783479,FALSE,0
"F0903","E",194729,24,0.961,0.305,2024,"N14",31.21,30.7739962637378,28.8104860636439,0.436003736262208,FALSE,0
"F0904","B",55059,24,0.929,0.559,2024,"N37",30.19,29.4545346934873,27.4910430560104,0.735465306512733,FALSE,0
