reference,fournisseur,couleur,matiere,motif,saison,col,finition,style,usage
REF00400,F119,vert,lin,imprime,hiver,v,standard,sportif,sport
REF00401,F120,vert,laine,imprime,hiver,rond,premium,classique,soiree
REF00402,F121,bleu,laine,uni,mi-saison,montant,premium,sportif,sport
REF00403,F122,rouge,coton,uni,hiver,v,premium,chic,ville
REF00404,F123,rouge,synthetique,uni,hiver,v,premium,classique,sport
REF00405,F124,rouge,synthetique,imprime,ete,rond,premium,classique,ville
REF00406,F125,vert,coton,uni,mi-saison,montant,premium,sportif,soiree
REF00407,F126,vert,coton,imprime,hiver,v,premium,chic,sport
REF00408,F127,bleu,coton,imprime,hiver,montant,standard,classique,soiree
REF00409,F128,vert,synthetique,raye,hiver,rond,premium,classique,ville
REF00410,F129,vert,lin,uni,mi-saison,rond,premium,sportif,ville
REF00411,F130,noir,coton,raye,hiver,v,standard,chic,soiree
REF00412,F131,noir,synthetique,uni,mi-saison,rond,premium,chic,ville
REF00413,F132,noir,laine,raye,mi-saison,rond,standard,chic,ville
REF00414,F133,rouge,lin,raye,ete,montant,premium,chic,sport
REF00415,F134,noir,lin,uni,ete,v,standard,classique,soiree
REF00416,F135,vert,laine,imprime,ete,montant,standard,chic,sport
REF00417,F136,noir,laine,uni,mi-saison,v,standard,chic,ville
REF00418,F137,rouge,laine,raye,ete,v,premium,chic,sport
REF00419,F138,noir,coton,uni,mi-saison,rond,standard,sportif,soiree
REF00420,F139,noir,coton,raye,ete,montant,premium,chic,sport
REF00421,F000,rouge,coton,uni,mi-saison,v,standard,sportif,ville
REF00422,F001,vert,coton,raye,hiver,montant,premium,chic,sport
REF00423,F002,vert,synthetique,imprime,ete,rond,standard,sportif,soiree
REF00424,F003,vert,coton,raye,ete,v,standard,classique,ville
REF00425,F004,vert,lin,raye,mi-saison,rond,premium,chic,ville
REF00426,F005,noir,lin,imprime,mi-saison,v,standard,sportif,soiree
REF00427,F006,vert,synthetique,raye,hiver,rond,standard,chic,soiree
REF00428,F007,noir,laine,uni,hiver,montant,premium,sportif,soiree
REF00429,F008,bleu,laine,imprime,ete,rond,premium,classique,sport
REF00430,F009,bleu,synthetique,uni,ete,rond,premium,sportif,sport
REF00431,F010,vert,coton,imprime,ete,v,standard,chic,ville
REF00432,F011,rouge,synthetique,uni,mi-saison,montant,standard,sportif,ville
REF00433,F012,noir,coton,raye,ete,rond,premium,classique,ville
REF00434,F013,bleu,coton,imprime,ete,rond,premium,sportif,sport
REF00435,F014,rouge,laine,imprime,ete,montant,standard,sportif,ville
REF00436,F015,bleu,laine,uni,mi-saison,montant,standard,classique,soiree
REF00437,F016,noir,laine,imprime,ete,rond,standard,sportif,soiree
REF00438,F017,rouge,laine,raye,mi-saison,montant,premium,sportif,ville
REF00439,F018,rouge,synthetique,raye,ete,v,standard,sportif,ville
REF00440,F019,noir,lin,uni,mi-saison,v,premium,sportif,ville
REF00441,F020,noir,laine,raye,hiver,v,standard,classique,sport
REF00442,F021,rouge,laine,imprime,hiver,montant,premium,sportif,ville
REF00443,F022,vert,laine,imprime,mi-saison,rond,standard,classique,ville
REF00444,F023,rouge,synthetique,uni,ete,rond,premium,chic,sport
REF00445,F024,vert,laine,raye,mi-saison,montant,premium,classique,sport
REF00446,F025,noir,coton,imprime,mi-saison,montant,premium,classique,soiree
REF00447,F026,vert,lin,uni,mi-saison,rond,standard,chic,ville
REF00448,F027,noir,laine,raye,ete,rond,premium,chic,ville
REF00449,F028,rouge,lin,uni,ete,v,premium,classique,ville
REF00450,F029,noir,lin,uni,mi-saison,rond,standard,sportif,sport
REF00451,F030,rouge,coton,raye,hiver,v,premium,chic,soiree
REF00452,F031,rouge,laine,raye,hiver,montant,standard,sportif,sport
REF00453,F032,rouge,coton,uni,mi-saison,v,standard,classique,ville
REF00454,F033,noir,coton,uni,ete,montant,standard,sportif,soiree
REF00455,F034,rouge,laine,uni,hiver,montant,premium,classique,sport
REF00456,F035,rouge,coton,uni,mi-saison,montant,premium,chic,soiree
REF00457,F036,vert,lin,imprime,mi-saison,v,premium,chic,soiree
REF00458,F037,vert,coton,imprime,mi-saison,montant,premium,sportif,sport
REF00459,F038,vert,laine,imprime,mi-saison,rond,premium,classique,sport
REF00460,F039,rouge,laine,imprime,ete,v,premium,sportif,soiree
REF00461,F040,vert,laine,imprime,hiver,rond,premium,sportif,soiree
REF00462,F041,bleu,synthetique,raye,mi-saison,montant,standard,classique,sport
REF00463,F042,rouge,lin,raye,hiver,rond,premium,classique,soiree
REF00464,F043,bleu,coton,raye,ete,rond,standard,classique,soiree
REF00465,F044,vert,laine,raye,mi-saison,v,premium,chic,ville
REF00466,F045,bleu,lin,uni,hiver,montant,standard,chic,soiree
REF00467,F046,bleu,laine,raye,ete,v,premium,chic,soiree
REF00468,F047,noir,laine,raye,hiver,montant,standard,sportif,sport
REF00469,F048,rouge,lin,raye,hiver,rond,standard,classique,soiree
REF00470,F049,rouge,synthetique,uni,ete,v,standard,classique,soiree
REF00471,F050,rouge,laine,raye,hiver,rond,standard,classique,soiree
REF00472,F051,bleu,lin,imprime,mi-saison,v,standard,classique,ville
REF00473,F052,bleu,synthetique,imprime,mi-saison,rond,premium,chic,soiree
REF00474,F053,vert,synthetique,imprime,ete,rond,standard,chic,soiree
REF00475,F054,rouge,laine,raye,mi-saison,v,premium,classique,soiree
REF00476,F055,noir,laine,imprime,hiver,montant,premium,sportif,soiree
REF00477,F056,noir,coton,uni,mi-saison,montant,standard,chic,soiree
REF00478,F057,noir,synthetique,imprime,mi-saison,v,premium,sportif,sport
REF00479,F058,noir,coton,imprime,hiver,rond,premium,sportif,sport
REF00480,F059,rouge,laine,imprime,hiver,rond,premium,sportif,soiree
REF00481,F060,vert,synthetique,uni,ete,v,standard,classique,sport
REF00482,F061,vert,laine,raye,hiver,rond,standard,sportif,soiree
REF00483,F062,bleu,synthetique,imprime,mi-saison,rond,standard,chic,sport
REF00484,F063,vert,laine,imprime,hiver,rond,premium,classique,ville
REF00485,F064,vert,laine,imprime,mi-saison,montant,premium,classique,ville
REF00486,F065,noir,lin,uni,mi-saison,montant,premium,chic,sport
REF00487,F066,noir,synthetique,imprime,ete,v,standard,sportif,sport
REF00488,F067,bleu,laine,raye,ete,montant,premium,chic,ville
REF00489,F068,noir,laine,raye,hiver,montant,standard,sportif,sport
REF00490,F069,vert,laine,uni,hiver,v,standard,sportif,soiree
REF00491,F070,vert,laine,imprime,ete,montant,premium,chic,sport
REF00492,F071,bleu,coton,imprime,ete,montant,premium,classique,ville
REF00493,F072,vert,lin,imprime,hiver,v,standard,sportif,sport
REF00494,F073,noir,laine,raye,ete,montant,premium,sportif,sport
REF00495,F074,noir,coton,imprime,hiver,montant,standard,chic,sport
REF00496,F075,noir,lin,imprime,hiver,v,premium,sportif,sport
REF00497,F076,noir,laine,raye,hiver,rond,standard,classique,ville
REF00498,F077,bleu,coton,uni,hiver,rond,standard,sportif,sport
REF00499,F078,noir,coton,raye,hiver,montant,premium,sportif,sport
REF00500,F079,rouge,laine,raye,mi-saison,montant,premium,classique,sport
REF00501,F080,bleu,coton,raye,ete,rond,standard,sportif,soiree
REF00502,F081,noir,lin,raye,hiver,v,premium,classique,soiree
REF00503,F082,rouge,synthetique,raye,hiver,v,standard,sportif,soiree
REF00504,F083,noir,laine,uni,hiver,montant,standard,chic,sport
REF00505,F084,vert,laine,imprime,mi-saison,montant,premium,sportif,sport
REF00506,F085,rouge,lin,imprime,ete,montant,premium,classique,ville
REF00507,F086,vert,lin,imprime,ete,v,premium,chic,soiree
REF00508,F087,rouge,laine,imprime,mi-saison,rond,premium,classique,sport
REF00509,F088,rouge,laine,raye,hiver,rond,standard,classique,sport
REF00510,F089,noir,synthetique,uni,hiver,rond,standard,sportif,ville
REF00511,F090,bleu,lin,raye,hiver,v,standard,sportif,soiree
REF00512,F091,rouge,laine,raye,ete,rond,standard,chic,sport
REF00513,F092,rouge,coton,imprime,ete,rond,premium,sportif,soiree
REF00514,F093,vert,laine,raye,hiver,rond,premium,chic,sport
REF00515,F094,bleu,lin,raye,mi-saison,v,premium,sportif,sport
REF00516,F095,noir,laine,uni,mi-saison,montant,standard,classique,soiree
REF00517,F096,rouge,coton,imprime,hiver,rond,standard,sportif,soiree
REF00518,F097,noir,lin,uni,hiver,v,standard,sportif,sport
REF00519,F098,rouge,coton,imprime,mi-saison,v,standard,chic,ville
REF00520,F099,vert,synthetique,uni,mi-saison,montant,standard,chic,soiree
REF00521,F100,rouge,lin,imprime,ete,montant,standard,classique,soiree
REF00522,F101,vert,synthetique,uni,hiver,montant,standard,chic,sport
REF00523,F102,noir,synthetique,imprime,hiver,montant,standard,classique,sport
REF00524,F103,noir,coton,raye,ete,montant,standard,classique,sport
REF00525,F104,noir,coton,raye,mi-saison,montant,premium,chic,sport
REF00526,F105,rouge,laine,raye,hiver,v,premium,chic,soiree
REF00527,F106,vert,synthetique,uni,hiver,rond,standard,sportif,soiree
REF00528,F107,vert,lin,raye,ete,v,standard,chic,sport
REF00529,F108,vert,lin,imprime,mi-saison,v,standard,sportif,ville
REF00530,F109,rouge,synthetique,uni,mi-saison,rond,standard,chic,sport
REF00531,F110,rouge,coton,uni,ete,montant,premium,chic,sport
REF00532,F111,rouge,coton,imprime,mi-saison,rond,premium,classique,ville
REF00533,F112,rouge,coton,uni,ete,v,premium,chic,soiree
REF00534,F113,vert,coton,raye,hiver,v,premium,sportif,ville
REF00535,F114,rouge,coton,imprime,ete,rond,standard,sportif,ville
REF00536,F115,noir,lin,imprime,ete,montant,standard,sportif,sport
REF00537,F116,rouge,laine,imprime,mi-saison,v,standard,classique,sport
REF00538,F117,noir,lin,uni,mi-saison,montant,standard,classique,sport
REF00539,F118,rouge,laine,raye,hiver,rond,standard,classique,sport
REF00540,F119,rouge,lin,imprime,hiver,rond,premium,classique,ville
REF00541,F120,bleu,laine,raye,ete,montant,premium,chic,ville
REF00542,F121,bleu,lin,uni,mi-saison,montant,premium,chic,sport
REF00543,F122,bleu,coton,imprime,mi-saison,v,premium,sportif,soiree
REF00544,F123,rouge,lin,imprime,ete,montant,standard,sportif,ville
REF00545,F124,rouge,coton,uni,ete,v,premium,sportif,ville
REF00546,F125,vert,synthetique,uni,mi-saison,rond,premium,chic,soiree
REF00547,F126,noir,lin,uni,mi-saison,rond,premium,chic,ville
REF00548,F127,rouge,laine,raye,ete,rond,standard,classique,ville
REF00549,F128,bleu,coton,imprime,ete,montant,standard,chic,sport
REF00550,F129,vert,synthetique,uni,mi-saison,rond,premium,sportif,ville
REF00551,F130,rouge,lin,imprime,ete,v,premium,chic,soiree
REF00552,F131,vert,lin,raye,mi-saison,montant,standard,classique,ville
REF00553,F132,bleu,synthetique,imprime,hiver,montant,standard,classique,ville
REF00554,F133,vert,laine,uni,mi-saison,rond,premium,classique,soiree
REF00555,F134,noir,coton,imprime,hiver,rond,premium,chic,sport
REF00556,F135,noir,lin,imprime,hiver,montant,standard,sportif,ville
REF00557,F136,vert,synthetique,uni,ete,rond,premium,sportif,sport
REF00558,F137,bleu,laine,uni,hiver,montant,standard,sportif,soiree
REF00559,F138,vert,synthetique,imprime,mi-saison,rond,premium,classique,sport
REF00560,F139,vert,lin,uni,mi-saison,rond,standard,classique,ville
REF00561,F000,rouge,laine,uni,ete,montant,standard,chic,soiree
REF00562,F001,bleu,synthetique,imprime,ete,v,standard,classique,ville
REF00563,F002,bleu,synthetique,uni,hiver,montant,premium,sportif,sport
REF00564,F003,noir,synthetique,raye,hiver,montant,standard,classique,soiree
REF00565,F004,bleu,coton,raye,hiver,v,premium,chic,soiree
REF00566,F005,noir,coton,raye,ete,montant,premium,chic,ville
REF00567,F006,noir,lin,imprime,hiver,v,premium,sportif,ville
REF00568,F007,rouge,synthetique,imprime,mi-saison,montant,premium,classique,soiree
REF00569,F008,noir,coton,uni,hiver,rond,standard,chic,soiree
REF00570,F009,noir,laine,raye,hiver,rond,standard,chic,sport
REF00571,F010,vert,synthetique,raye,mi-saison,v,premium,chic,soiree
REF00572,F011,bleu,coton,uni,mi-saison,v,standard,sportif,soiree
REF00573,F012,bleu,coton,imprime,ete,montant,standard,classique,sport
REF00574,F013,bleu,lin,raye,mi-saison,rond,premium,classique,ville
REF00575,F014,rouge,coton,raye,ete,montant,standard,chic,ville
REF00576,F015,vert,synthetique,raye,mi-saison,montant,premium,classique,soiree
REF00577,F016,vert,lin,imprime,ete,montant,premium,chic,ville
REF00578,F017,bleu,laine,uni,hiver,montant,standard,classique,soiree
REF00579,F018,rouge,lin,imprime,ete,v,standard,chic,ville
REF00580,F019,rouge,synthetique,imprime,mi-saison,rond,standard,classique,sport
REF00581,F020,noir,synthetique,imprime,ete,montant,standard,sportif,soiree
REF00582,F021,bleu,synthetique,raye,hiver,v,standard,classique,soiree
REF00583,F022,noir,coton,raye,ete,montant,premium,classique,ville
REF00584,F023,noir,lin,uni,mi-saison,montant,premium,classique,sport
REF00585,F024,noir,laine,raye,hiver,v,premium,classique,sport
REF00586,F025,noir,synthetique,uni,ete,v,standard,chic,sport
REF00587,F026,bleu,coton,raye,ete,rond,premium,chic,sport
REF00588,F027,rouge,coton,uni,ete,montant,standard,chic,soiree
REF00589,F028,noir,lin,imprime,ete,montant,standard,classique,soiree
REF00590,F029,rouge,coton,uni,ete,rond,standard,classique,ville
REF00591,F030,bleu,coton,uni,hiver,v,premium,chic,soiree
REF00592,F031,rouge,synthetique,raye,mi-saison,v,standard,sportif,soiree
REF00593,F032,bleu,lin,raye,mi-saison,rond,premium,sportif,soiree
REF00594,F033,noir,laine,uni,hiver,montant,standard,chic,soiree
REF00595,F034,vert,lin,uni,ete,montant,standard,sportif,soiree
REF00596,F035,rouge,synthetique,uni,ete,v,standard,sportif,soiree
REF00597,F036,rouge,synthetique,uni,ete,rond,standard,sportif,soiree
REF00598,F037,rouge,coton,raye,hiver,montant,standard,classique,ville
REF00599,F038,bleu,synthetique,raye,mi-saison,montant,premium,sportif,ville
REF00600,F039,noir,synthetique,raye,ete,montant,standard,sportif,ville
REF00601,F040,rouge,laine,imprime,mi-saison,montant,standard,classique,ville
REF00602,F041,vert,coton,imprime,ete,rond,premium,chic,soiree
REF00603,F042,noir,coton,raye,ete,v,standard,classique,ville
REF00604,F043,rouge,lin,raye,hiver,rond,standard,sportif,sport
REF00605,F044,vert,coton,uni,hiver,v,premium,chic,soiree
REF00606,F045,rouge,coton,imprime,ete,rond,standard,chic,soiree
REF00607,F046,vert,laine,uni,hiver,v,premium,sportif,sport
REF00608,F047,noir,laine,uni,mi-saison,montant,standard,classique,soiree
REF00609,F048,bleu,lin,uni,ete,montant,premium,classique,soiree
REF00610,F049,vert,laine,uni,ete,montant,premium,sportif,sport
REF00611,F050,vert,coton,uni,mi-saison,v,standard,classique,sport
REF00612,F051,rouge,lin,imprime,mi-saison,rond,premium,sportif,ville
REF00613,F052,rouge,lin,uni,mi-saison,rond,standard,chic,soiree
REF00614,F053,bleu,laine,imprime,hiver,rond,premium,sportif,ville
REF00615,F054,bleu,coton,imprime,ete,v,standard,classique,sport
REF00616,F055,rouge,laine,raye,mi-saison,montant,premium,classique,sport
REF00617,F056,vert,synthetique,raye,ete,v,standard,classique,ville
REF00618,F057,rouge,laine,raye,mi-saison,montant,premium,chic,ville
REF00619,F058,vert,coton,uni,hiver,rond,premium,classique,sport
REF00620,F059,bleu,coton,uni,mi-saison,v,standard,classique,ville
REF00621,F060,noir,coton,raye,ete,v,premium,chic,soiree
REF00622,F061,rouge,synthetique,imprime,hiver,montant,standard,chic,soiree
REF00623,F062,noir,synthetique,raye,mi-saison,v,standard,classique,soiree
REF00624,F063,rouge,laine,uni,hiver,montant,premium,sportif,sport
REF00625,F064,vert,coton,raye,hiver,montant,premium,chic,soiree
REF00626,F065,vert,laine,imprime,ete,rond,standard,classique,ville
REF00627,F066,noir,coton,imprime,hiver,rond,standard,sportif,ville
REF00628,F067,bleu,lin,uni,hiver,rond,premium,sportif,ville
REF00629,F068,vert,coton,raye,mi-saison,rond,standard,chic,soiree
REF00630,F069,bleu,lin,imprime,ete,montant,standard,sportif,soiree
REF00631,F070,noir,coton,raye,mi-saison,rond,premium,chic,ville
REF00632,F071,bleu,synthetique,uni,ete,montant,standard,classique,soiree
REF00633,F072,noir,laine,uni,hiver,rond,premium,sportif,ville
REF00634,F073,noir,synthetique,imprime,ete,montant,standard,chic,ville
REF00635,F074,noir,synthetique,raye,hiver,rond,standard,sportif,sport
REF00636,F075,vert,laine,raye,hiver,montant,premium,sportif,ville
REF00637,F076,noir,laine,imprime,ete,montant,standard,chic,sport
REF00638,F077,vert,coton,uni,ete,montant,standard,classique,ville
REF00639,F078,noir,lin,uni,ete,rond,standard,chic,sport
REF00640,F079,noir,lin,imprime,ete,rond,premium,chic,soiree
REF00641,F080,rouge,laine,raye,ete,rond,premium,chic,sport
REF00642,F081,rouge,lin,uni,mi-saison,rond,premium,classique,ville
REF00643,F082,rouge,lin,uni,hiver,montant,standard,chic,sport
REF00644,F083,bleu,laine,raye,ete,montant,premium,classique,soiree
REF00645,F084,noir,synthetique,imprime,ete,rond,standard,sportif,ville
REF00646,F085,rouge,coton,imprime,hiver,rond,standard,sportif,sport
REF00647,F086,bleu,coton,raye,ete,montant,premium,chic,ville
REF00648,F087,vert,lin,imprime,mi-saison,rond,premium,chic,sport
REF00649,F088,bleu,synthetique,imprime,mi-saison,rond,premium,classique,soiree
REF00650,F089,noir,laine,imprime,mi-saison,v,standard,chic,ville
REF00651,F090,bleu,lin,imprime,mi-saison,montant,standard,chic,sport
REF00652,F091,rouge,coton,raye,mi-saison,montant,standard,classique,ville
REF00653,F092,rouge,synthetique,raye,hiver,v,standard,sportif,soiree
REF00654,F093,vert,synthetique,uni,hiver,montant,premium,sportif,sport
REF00655,F094,rouge,laine,imprime,ete,rond,premium,chic,sport
REF00656,F095,noir,laine,uni,ete,v,standard,chic,ville
REF00657,F096,rouge,synthetique,uni,ete,v,standard,classique,soiree
REF00658,F097,vert,lin,imprime,ete,rond,premium,chic,soiree
REF00659,F098,vert,coton,raye,mi-saison,v,premium,sportif,ville
REF00660,F099,vert,synthetique,imprime,hiver,v,premium,sportif,soiree
REF00661,F100,bleu,synthetique,imprime,mi-saison,rond,standard,chic,soiree
REF00662,F101,vert,laine,imprime,hiver,rond,premium,classique,ville
REF00663,F102,vert,lin,imprime,ete,rond,standard,classique,soiree
REF00664,F103,bleu,coton,imprime,mi-saison,v,standard,chic,sport
REF00665,F104,bleu,lin,raye,ete,montant,premium,chic,ville
REF00666,F105,rouge,laine,uni,hiver,rond,premium,sportif,ville
REF00667,F106,noir,laine,imprime,mi-saison,rond,premium,chic,soiree
REF00668,F107,noir,synthetique,raye,hiver,v,premium,classique,ville
REF00669,F108,bleu,coton,imprime,hiver,rond,premium,sportif,sport
REF00670,F109,bleu,lin,uni,ete,rond,premium,chic,ville
REF00671,F110,rouge,coton,raye,ete,montant,premium,chic,ville
REF00672,F111,rouge,coton,uni,mi-saison,montant,premium,chic,sport
REF00673,F112,noir,lin,raye,mi-saison,montant,standard,sportif,soiree
REF00674,F113,rouge,synthetique,imprime,hiver,montant,premium,classique,soiree
REF00675,F114,bleu,coton,imprime,mi-saison,rond,premium,classique,ville
REF00676,F115,bleu,coton,raye,hiver,rond,standard,classique,soiree
REF00677,F116,noir,lin,raye,mi-saison,v,premium,sportif,soiree
REF00678,F117,vert,synthetique,imprime,mi-saison,v,premium,classique,sport
REF00679,F118,vert,synthetique,raye,ete,v,premium,sportif,ville
REF00680,F119,noir,synthetique,imprime,hiver,rond,standard,chic,ville
REF00681,F120,vert,laine,uni,mi-saison,rond,premium,classique,ville
REF00682,F121,vert,synthetique,raye,ete,v,standard,classique,soiree
REF00683,F122,rouge,lin,raye,ete,rond,standard,sportif,ville
REF00684,F123,vert,coton,uni,hiver,v,premium,classique,ville
REF00685,F124,bleu,coton,raye,hiver,v,premium,sportif,soiree
REF00686,F125,noir,lin,raye,hiver,montant,standard,classique,ville
REF00687,F126,vert,synthetique,uni,mi-saison,v,standard,sportif,ville
REF00688,F127,bleu,coton,uni,mi-saison,v,premium,classique,soiree
REF00689,F128,vert,laine,uni,hiver,rond,premium,classique,ville
REF00690,F129,noir,lin,uni,mi-saison,montant,premium,sportif,soiree
REF00691,F130,vert,lin,raye,hiver,montant,standard,sportif,soiree
REF00692,F131,rouge,coton,raye,hiver,montant,premium,chic,soiree
REF00693,F132,vert,lin,raye,ete,v,premium,classique,soiree
REF00694,F133,bleu,coton,raye,hiver,montant,standard,sportif,sport
REF00695,F134,rouge,coton,imprime,hiver,montant,premium,classique,sport
REF00696,F135,noir,lin,imprime,hiver,v,premium,sportif,sport
REF00697,F136,bleu,coton,raye,mi-saison,v,standard,classique,soiree
REF00698,F137,bleu,coton,uni,mi-saison,rond,premium,sportif,ville
REF00699,F138,bleu,coton,imprime,ete,v,standard,sportif,sport
REF00700,F139,rouge,coton,uni,mi-saison,v,standard,classique,soiree
REF00701,F000,rouge,lin,uni,hiver,montant,premium,chic,ville
REF00702,F001,vert,laine,raye,hiver,v,standard,chic,sport
REF00703,F002,rouge,coton,uni,ete,rond,standard,sportif,ville
REF00704,F003,noir,lin,raye,ete,montant,standard,classique,sport
REF00705,F004,noir,lin,uni,mi-saison,montant,premium,classique,ville
REF00706,F005,bleu,coton,uni,ete,rond,premium,chic,soiree
REF00707,F006,bleu,synthetique,imprime,ete,rond,standard,chic,sport
REF00708,F007,bleu,lin,imprime,hiver,rond,premium,sportif,ville
REF00709,F008,rouge,synthetique,imprime,ete,rond,premium,sportif,ville
REF00710,F009,noir,laine,imprime,mi-saison,rond,standard,sportif,soiree
REF00711,F010,vert,laine,raye,ete,v,premium,chic,ville
REF00712,F011,rouge,lin,imprime,ete,montant,premium,chic,ville
REF00713,F012,vert,synthetique,imprime,hiver,montant,standard,chic,ville
REF00714,F013,rouge,lin,imprime,ete,montant,premium,classique,soiree
REF00715,F014,vert,laine,raye,ete,montant,premium,classique,soiree
REF00716,F015,bleu,laine,raye,ete,v,premium,chic,ville
REF00717,F016,rouge,coton,raye,ete,rond,standard,sportif,soiree
REF00718,F017,bleu,synthetique,imprime,hiver,montant,premium,sportif,soiree
REF00719,F018,rouge,laine,imprime,ete,montant,standard,chic,ville
REF00720,F019,noir,coton,raye,hiver,rond,premium,sportif,ville
REF00721,F020,rouge,synthetique,raye,hiver,rond,standard,chic,soiree
REF00722,F021,noir,lin,uni,mi-saison,rond,standard,sportif,ville
REF00723,F022,vert,laine,imprime,mi-saison,montant,standard,sportif,sport
REF00724,F023,rouge,lin,raye,ete,v,premium,sportif,sport
REF00725,F024,vert,coton,raye,ete,v,standard,sportif,sport
REF00726,F025,rouge,synthetique,imprime,ete,rond,premium,sportif,soiree
REF00727,F026,rouge,coton,uni,hiver,v,premium,sportif,ville
REF00728,F027,vert,coton,raye,ete,v,standard,classique,sport
REF00729,F028,rouge,coton,imprime,hiver,montant,premium,chic,sport
REF00730,F029,rouge,synthetique,raye,ete,montant,premium,classique,ville
REF00731,F030,vert,laine,imprime,mi-saison,rond,premium,sportif,sport
REF00732,F031,vert,coton,imprime,hiver,montant,premium,chic,ville
REF00733,F032,vert,coton,raye,ete,v,premium,chic,ville
REF00734,F033,rouge,lin,uni,ete,v,standard,sportif,ville
REF00735,F034,bleu,synthetique,imprime,ete,rond,standard,chic,ville
REF00736,F035,vert,lin,uni,ete,v,standard,chic,sport
REF00737,F036,vert,coton,raye,mi-saison,montant,premium,classique,soiree
REF00738,F037,bleu,coton,uni,ete,v,premium,classique,ville
REF00739,F038,noir,lin,raye,ete,rond,standard,classique,soiree
REF00740,F039,rouge,synthetique,uni,ete,rond,standard,sportif,sport
REF00741,F040,noir,coton,imprime,mi-saison,montant,standard,sportif,soiree
REF00742,F041,vert,lin,uni,mi-saison,montant,premium,classique,ville
REF00743,F042,vert,synthetique,raye,mi-saison,v,premium,sportif,sport
REF00744,F043,noir,synthetique,raye,hiver,montant,premium,classique,soiree
REF00745,F044,vert,synthetique,uni,mi-saison,montant,premium,classique,ville
REF00746,F045,rouge,synthetique,imprime,ete,rond,standard,sportif,ville
REF00747,F046,noir,coton,uni,mi-saison,montant,premium,chic,sport
REF00748,F047,vert,synthetique,imprime,hiver,rond,premium,classique,ville
REF00749,F048,bleu,synthetique,imprime,ete,montant,standard,classique,ville
REF00750,F049,vert,coton,uni,ete,rond,standard,sportif,ville
REF00751,F050,bleu,lin,imprime,mi-saison,rond,standard,sportif,ville
REF00752,F051,bleu,lin,raye,hiver,v,premium,sportif,soiree
REF00753,F052,noir,synthetique,imprime,ete,v,standard,sportif,sport
REF00754,F053,bleu,synthetique,uni,hiver,rond,premium,chic,ville
REF00755,F054,rouge,lin,uni,ete,rond,standard,classique,ville
REF00756,F055,noir,lin,uni,hiver,montant,premium,classique,ville
REF00757,F056,noir,laine,imprime,mi-saison,rond,standard,chic,soiree
REF00758,F057,vert,coton,uni,mi-saison,rond,premium,sportif,ville
REF00759,F058,rouge,coton,imprime,ete,v,premium,sportif,ville
REF00760,F059,bleu,synthetique,raye,hiver,v,premium,classique,soiree
REF00761,F060,noir,coton,imprime,mi-saison,v,premium,classique,sport
REF00762,F061,rouge,laine,raye,mi-saison,montant,premium,classique,sport
REF00763,F062,noir,coton,imprime,hiver,rond,standard,sportif,soiree
REF00764,F063,noir,lin,imprime,hiver,v,standard,sportif,soiree
REF00765,F064,noir,synthetique,uni,mi-saison,montant,standard,sportif,soiree
REF00766,F065,bleu,synthetique,imprime,hiver,montant,standard,chic,ville
REF00767,F066,noir,synthetique,raye,mi-saison,v,premium,classique,sport
REF00768,F067,rouge,laine,uni,ete,montant,standard,classique,soiree
REF00769,F068,bleu,laine,uni,mi-saison,rond,standard,classique,soiree
REF00770,F069,rouge,lin,imprime,ete,montant,premium,sportif,ville
REF00771,F070,rouge,coton,raye,mi-saison,rond,premium,chic,soiree
REF00772,F071,rouge,coton,imprime,mi-saison,rond,standard,sportif,sport
REF00773,F072,rouge,laine,uni,hiver,montant,standard,classique,sport
REF00774,F073,vert,laine,raye,hiver,montant,standard,sportif,soiree
REF00775,F074,vert,synthetique,raye,hiver,rond,standard,sportif,sport
REF00776,F075,bleu,coton,imprime,hiver,rond,premium,classique,ville
REF00777,F076,noir,lin,uni,ete,montant,standard,classique,soiree
REF00778,F077,bleu,coton,uni,hiver,v,premium,sportif,soiree
REF00779,F078,bleu,laine,imprime,ete,rond,standard,chic,soiree
REF00780,F079,vert,laine,imprime,hiver,rond,premium,classique,sport
REF00781,F080,rouge,coton,uni,mi-saison,rond,premium,classique,ville
REF00782,F081,bleu,coton,uni,mi-saison,v,standard,classique,soiree
REF00783,F082,vert,lin,imprime,ete,rond,standard,chic,soiree
REF00784,F083,noir,lin,raye,hiver,montant,standard,classique,sport
REF00785,F084,noir,synthetique,uni,mi-saison,montant,standard,sportif,ville
REF00786,F085,noir,lin,imprime,mi-saison,rond,standard,chic,sport
REF00787,F086,bleu,laine,imprime,ete,v,standard,chic,soiree
REF00788,F087,rouge,lin,imprime,mi-saison,rond,standard,chic,ville
REF00789,F088,vert,synthetique,raye,hiver,rond,standard,classique,ville
REF00790,F089,noir,laine,uni,hiver,v,premium,classique,ville
REF00791,F090,vert,coton,raye,mi-saison,v,standard,classique,sport
REF00792,F091,vert,lin,imprime,hiver,rond,premium,sportif,soiree
REF00793,F092,rouge,coton,raye,ete,montant,standard,chic,soiree
REF00794,F093,vert,lin,imprime,ete,montant,premium,sportif,sport
REF00795,F094,vert,synthetique,uni,ete,rond,standard,classique,soiree
REF00796,F095,bleu,synthetique,raye,hiver,montant,standard,sportif,ville
REF00797,F096,noir,synthetique,uni,mi-saison,v,standard,sportif,soiree
